drug pairs 
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB00224    object:Dihydroergotamine precipitant: Indinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00261-http://bio2rdf.org/drugbank:DB00908    object:Quinidine precipitant: Anagrelide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB01175    object:Escitalopram precipitant: Droperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00218    object:Moxifloxacin precipitant: Dofetilide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00218    object:Quinidine precipitant: Moxifloxacin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB01211    object:Clarithromycin precipitant: Chlorpromazine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00261-http://bio2rdf.org/drugbank:DB00450    object:Droperidol precipitant: Anagrelide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01072    object:Atazanavir precipitant: Carbamazepine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB01100    object:Haloperidol precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00320    object:Dihydroergotamine precipitant: Ritonavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB01118    object:Amiodarone precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB00502    object:Arsenic trioxide precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00204    object:Dofetilide precipitant: Sotalol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB00477    object:Arsenic trioxide precipitant: Chlorpromazine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB00502    object:Sulpiride precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB01100    object:Sotalol precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB01211    object:Clarithromycin precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB01211    object:Sulpiride precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB01175    object:Quinidine precipitant: Escitalopram 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00199    object:Dofetilide precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00224-http://bio2rdf.org/drugbank:DB01045    object:Indinavir precipitant: Rifampicin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB01118    object:Amiodarone precipitant: Escitalopram 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00503    object:Ritonavir precipitant: Carbamazepine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00762-http://bio2rdf.org/drugbank:DB01211    object:Irinotecan precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00489    object:Droperidol precipitant: Sotalol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB01218    object:Sulpiride precipitant: Halofantrine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB01175    object:Escitalopram precipitant: Vandetanib 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB00261    object:Domperidone precipitant: Anagrelide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB00261    object:Anagrelide precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB00701    object:Amprenavir precipitant: Rifabutin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB01211    object:Clarithromycin precipitant: Escitalopram 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01601-http://bio2rdf.org/drugbank:DB01045    object:Lopinavir precipitant: Rifampicin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB00176    object:Fluvoxamine precipitant: Selegiline 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00696    object:Ergotamine precipitant: Ketoconazole 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04855-http://bio2rdf.org/drugbank:DB00502    object:Haloperidol precipitant: Dronedarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00641    object:Simvastatin precipitant: Amiodarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00489    object:Vandetanib precipitant: Sotalol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB01218    object:Escitalopram precipitant: Halofantrine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01232    object:Simvastatin precipitant: Saquinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB00477    object:Chlorpromazine precipitant: Domperidone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB05294    object:Droperidol precipitant: Vandetanib 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00204    object:Dofetilide precipitant: Quinidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB04855    object:Dronedarone precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB01169    object:Arsenic trioxide precipitant: Droperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00489    object:Amiodarone precipitant: Sotalol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB01184    object:Domperidone precipitant: Arsenic trioxide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB01175    object:Sotalol precipitant: Escitalopram 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB01100    object:Dofetilide precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB00199    object:Arsenic trioxide precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB01175    object:Escitalopram precipitant: Domperidone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00204    object:Dofetilide precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB01175    object:Escitalopram precipitant: Pimozide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01218-http://bio2rdf.org/drugbank:DB01184    object:Halofantrine precipitant: Domperidone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00261    object:Dofetilide precipitant: Anagrelide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB01175    object:Escitalopram precipitant: Dofetilide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00261-http://bio2rdf.org/drugbank:DB01175    object:Anagrelide precipitant: Escitalopram 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00391    object:Erythromycin precipitant: Sulpiride 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB00489    object:Domperidone precipitant: Sotalol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB01045    object:Saquinavir precipitant: Rifampicin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01218-http://bio2rdf.org/drugbank:DB01211    object:Halofantrine precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB00450    object:Droperidol precipitant: Sulpiride 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00391    object:Sulpiride precipitant: Vandetanib 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00502    object:Clarithromycin precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00502    object:Amiodarone precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB00218    object:Moxifloxacin precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB00738    object:Pentamidine precipitant: Domperidone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00762-http://bio2rdf.org/drugbank:DB00932    object:Irinotecan precipitant: Tipranavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB04855    object:Moxifloxacin precipitant: Dronedarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB00503    object:Methylergometrine precipitant: Ritonavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00218    object:Vandetanib precipitant: Moxifloxacin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB01601    object:Dihydroergotamine precipitant: Lopinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00353    object:Methylergometrine precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB00204    object:Domperidone precipitant: Dofetilide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01100    object:Pimozide precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00477    object:Amiodarone precipitant: Chlorpromazine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB01169    object:Arsenic trioxide precipitant: Moxifloxacin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00477    object:Droperidol precipitant: Chlorpromazine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB05294    object:Domperidone precipitant: Vandetanib 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00320    object:Dihydroergotamine precipitant: Atazanavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB00454    object:Pethidine precipitant: Selegiline 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04855-http://bio2rdf.org/drugbank:DB00908    object:Quinidine precipitant: Dronedarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00701-http://bio2rdf.org/drugbank:DB00641    object:Simvastatin precipitant: Amprenavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB01211    object:Dihydroergotamine precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB00502    object:Haloperidol precipitant: Escitalopram 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB01045    object:Ritonavir precipitant: Rifampicin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB00701    object:Methylergometrine precipitant: Amprenavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB04855    object:Droperidol precipitant: Dronedarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00701-http://bio2rdf.org/drugbank:DB00564    object:Amprenavir precipitant: Carbamazepine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB00976    object:Dihydroergotamine precipitant: Telithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB00199    object:Domperidone precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00261    object:Anagrelide precipitant: Chlorpromazine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04855-http://bio2rdf.org/drugbank:DB05294    object:Dronedarone precipitant: Vandetanib 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB00932    object:Tipranavir precipitant: Rifabutin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00224-http://bio2rdf.org/drugbank:DB00353    object:Methylergometrine precipitant: Indinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00391    object:Amiodarone precipitant: Sulpiride 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01601-http://bio2rdf.org/drugbank:DB00564    object:Lopinavir precipitant: Carbamazepine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB01118    object:Amiodarone precipitant: Quinidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00261-http://bio2rdf.org/drugbank:DB01118    object:Amiodarone precipitant: Anagrelide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00261    object:Anagrelide precipitant: Vandetanib 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01319    object:Fosamprenavir precipitant: Carbamazepine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00502    object:Sotalol precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00224    object:Indinavir precipitant: Carbamazepine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00696    object:Ergotamine precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04855-http://bio2rdf.org/drugbank:DB01211    object:Dronedarone precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00320    object:Dihydroergotamine precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB01211    object:Methylergometrine precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00343-http://bio2rdf.org/drugbank:DB00641    object:Simvastatin precipitant: Diltiazem 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00199    object:Erythromycin precipitant: Vandetanib 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB01045    object:Fosamprenavir precipitant: Rifampicin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB01037    object:Escitalopram precipitant: Selegiline 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00738    object:Erythromycin precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00701-http://bio2rdf.org/drugbank:DB00320    object:Dihydroergotamine precipitant: Amprenavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB01118    object:Amiodarone precipitant: Dofetilide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00204    object:Clarithromycin precipitant: Dofetilide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00738    object:Haloperidol precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB01118    object:Amiodarone precipitant: Domperidone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB01169    object:Dofetilide precipitant: Arsenic trioxide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB01211    object:Sotalol precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB04855    object:Sulpiride precipitant: Dronedarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB01184    object:Domperidone precipitant: Haloperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00738    object:Pentamidine precipitant: Dofetilide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00261    object:Haloperidol precipitant: Anagrelide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00489    object:Chlorpromazine precipitant: Sotalol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01601    object:Simvastatin precipitant: Lopinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01601-http://bio2rdf.org/drugbank:DB00615    object:Lopinavir precipitant: Rifabutin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB04855    object:Erythromycin precipitant: Dronedarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00224-http://bio2rdf.org/drugbank:DB00615    object:Indinavir precipitant: Rifabutin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00696-http://bio2rdf.org/drugbank:DB01072    object:Ergotamine precipitant: Atazanavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB00391    object:Moxifloxacin precipitant: Sulpiride 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00932-http://bio2rdf.org/drugbank:DB00353    object:Methylergometrine precipitant: Tipranavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00908    object:Droperidol precipitant: Quinidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00908    object:Vandetanib precipitant: Quinidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00932-http://bio2rdf.org/drugbank:DB01045    object:Tipranavir precipitant: Rifampicin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01601-http://bio2rdf.org/drugbank:DB00696    object:Ergotamine precipitant: Lopinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01264    object:Darunavir precipitant: Carbamazepine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
