drug pairs 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00502    object:Haloperidol precipitant: VANDETANIB 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00489    object:Dofetilide precipitant: Sotalol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00575-http://bio2rdf.org/drugbank:DB00540    object:NORTRIPTYLINE precipitant: Clonidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB00479    object:Pentamidine precipitant: Amikacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00575-http://bio2rdf.org/drugbank:DB00543    object:AMOXAPINE precipitant: Clonidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00479-http://bio2rdf.org/drugbank:DB00887    object:Bumetanide precipitant: Amikacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04855-http://bio2rdf.org/drugbank:DB00477    object:Dronedarone precipitant: Chlorpromazine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00683-http://bio2rdf.org/drugbank:DB01026    object:Ketoconazole precipitant: Midazolam 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB01023    object:PHENOBARBITAL precipitant: Felodipine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00726    object:Paroxetine precipitant: Trimipramine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB00717    object:NORETHINDRONE precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00717-http://bio2rdf.org/drugbank:DB01174    object:NORETHINDRONE precipitant: PHENOBARBITAL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB00669    object:SUMATRIPTAN precipitant: Escitalopram 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB01026    object:Ketoconazole precipitant: Lansoprazole 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00690-http://bio2rdf.org/drugbank:DB00363    object:Flurazepam precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00601-http://bio2rdf.org/drugbank:DB01104    object:SERTRALINE precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00921    object:Buprenorphine precipitant: Alprazolam 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00794-http://bio2rdf.org/drugbank:DB01264    object:PRIMIDONE precipitant: Darunavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01104-http://bio2rdf.org/drugbank:DB00953    object:Rizatriptan precipitant: SERTRALINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00615    object:Fluconazole precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB08860-http://bio2rdf.org/drugbank:DB01039    object:Fenofibrate precipitant: PITAVASTATIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB01215    object:ESTAZOLAM precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00458-http://bio2rdf.org/drugbank:DB00575    object:Imipramine precipitant: Clonidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01223-http://bio2rdf.org/drugbank:DB01174    object:PHENOBARBITAL precipitant: AMINOPHYLLINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB00726    object:Rasagiline precipitant: Trimipramine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06201-http://bio2rdf.org/drugbank:DB00313    object:RUFINAMIDE precipitant: Valproic Acid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06772-http://bio2rdf.org/drugbank:DB01026    object:Ketoconazole precipitant: Cabazitaxel 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB01100    object:Pimozide precipitant: Haloperidol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00953-http://bio2rdf.org/drugbank:DB00601    object:Rizatriptan precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00927    object:Ketoconazole precipitant: Famotidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB00489    object:Moxifloxacin precipitant: Sotalol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB00477    object:Pethidine precipitant: Chlorpromazine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00216-http://bio2rdf.org/drugbank:DB00715    object:Paroxetine precipitant: Eletriptan 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB00957    object:Norgestimate precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00363    object:Alprazolam precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00741-http://bio2rdf.org/drugbank:DB00615    object:HYDROCORTISONE precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB00701    object:Amprenavir precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB00673    object:Pimozide precipitant: Aprepitant 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB01100    object:Sotalol precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB01100    object:Ritonavir precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB01104    object:Amitriptyline precipitant: SERTRALINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB00601    object:Amitriptyline precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00820-http://bio2rdf.org/drugbank:DB00503    object:Tadalafil precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB01268    object:Sunitinib precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00218    object:Moxifloxacin precipitant: Dofetilide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00450    object:Droperidol precipitant: Dofetilide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB00684    object:Pentamidine precipitant: Tobramycin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB00304    object:Fosamprenavir precipitant: Desogestrel 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00537    object:AMIODARONE precipitant: CIPROFLOXACIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01104-http://bio2rdf.org/drugbank:DB00540    object:NORTRIPTYLINE precipitant: SERTRALINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01268-http://bio2rdf.org/drugbank:DB00582    object:Voriconazole precipitant: Sunitinib 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB00813    object:Rasagiline precipitant: Fentanyl 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00585-http://bio2rdf.org/drugbank:DB04868    object:Nizatidine precipitant: Nilotinib 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB00582    object:Voriconazole precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01234-http://bio2rdf.org/drugbank:DB00218    object:Moxifloxacin precipitant: DEXAMETHASONE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB00998    object:Escitalopram precipitant: Frovatriptan 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00255-http://bio2rdf.org/drugbank:DB01174    object:DIETHYLSTILBESTROL precipitant: PHENOBARBITAL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB04855-http://bio2rdf.org/drugbank:DB00503    object:Dronedarone precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00683-http://bio2rdf.org/drugbank:DB00503    object:Midazolam precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00701-http://bio2rdf.org/drugbank:DB00862    object:Vardenafil precipitant: Amprenavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05294-http://bio2rdf.org/drugbank:DB00489    object:Sotalol precipitant: VANDETANIB 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00704-http://bio2rdf.org/drugbank:DB00454    object:Naltrexone precipitant: Pethidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB01023    object:Ketoconazole precipitant: Felodipine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB00726    object:Trimipramine precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01104-http://bio2rdf.org/drugbank:DB01100    object:SERTRALINE precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01067-http://bio2rdf.org/drugbank:DB00582    object:Voriconazole precipitant: GLIPIZIDE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00820-http://bio2rdf.org/drugbank:DB01601    object:Lopinavir precipitant: Tadalafil 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00673-http://bio2rdf.org/drugbank:DB00717    object:NORETHINDRONE precipitant: Aprepitant 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01588-http://bio2rdf.org/drugbank:DB00363    object:PRAZEPAM precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01059-http://bio2rdf.org/drugbank:DB01223    object:AMINOPHYLLINE precipitant: NORFLOXACIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00820    object:Tadalafil precipitant: Atazanavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB00900    object:Pentamidine precipitant: DIDANOSINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00601-http://bio2rdf.org/drugbank:DB00726    object:Trimipramine precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05521-http://bio2rdf.org/drugbank:DB01100    object:Telaprevir precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00543-http://bio2rdf.org/drugbank:DB01175    object:AMOXAPINE precipitant: Escitalopram 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB00304    object:Desogestrel precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB01029    object:Indomethacin precipitant: Irbesartan 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00684-http://bio2rdf.org/drugbank:DB01339    object:Vecuronium precipitant: Tobramycin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00437-http://bio2rdf.org/drugbank:DB00900    object:DIDANOSINE precipitant: ALLOPURINOL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB06772    object:Ritonavir precipitant: Cabazitaxel 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01104-http://bio2rdf.org/drugbank:DB00543    object:AMOXAPINE precipitant: SERTRALINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB00582    object:Voriconazole precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00479-http://bio2rdf.org/drugbank:DB00202    object:Succinylcholine precipitant: Amikacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB00216    object:Escitalopram precipitant: Eletriptan 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00672    object:CHLORPROPAMIDE precipitant: Sotalol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00794-http://bio2rdf.org/drugbank:DB00783    object:PRIMIDONE precipitant: Estradiol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00625-http://bio2rdf.org/drugbank:DB00582    object:Voriconazole precipitant: Efavirenz 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00918-http://bio2rdf.org/drugbank:DB00715    object:Paroxetine precipitant: Almotriptan 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01215-http://bio2rdf.org/drugbank:DB00921    object:Buprenorphine precipitant: ESTAZOLAM 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00673-http://bio2rdf.org/drugbank:DB00304    object:Aprepitant precipitant: Desogestrel 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00796    object:Candesartan precipitant: Indomethacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB01601    object:Lopinavir precipitant: PHENOBARBITAL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00796-http://bio2rdf.org/drugbank:DB00384    object:Candesartan precipitant: TRIAMTERENE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00943-http://bio2rdf.org/drugbank:DB00900    object:Zalcitabine precipitant: DIDANOSINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00862    object:Vardenafil precipitant: Sotalol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01264-http://bio2rdf.org/drugbank:DB00862    object:Vardenafil precipitant: Darunavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00811-http://bio2rdf.org/drugbank:DB00495    object:Ribavirin precipitant: ZIDOVUDINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00717-http://bio2rdf.org/drugbank:DB01319    object:NORETHINDRONE precipitant: Fosamprenavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00900-http://bio2rdf.org/drugbank:DB01004    object:DIDANOSINE precipitant: GANCICLOVIR 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00421-http://bio2rdf.org/drugbank:DB00796    object:Candesartan precipitant: Spironolactone 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00943-http://bio2rdf.org/drugbank:DB00709    object:Zalcitabine precipitant: Lamivudine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00601-http://bio2rdf.org/drugbank:DB00668    object:Epinephrine precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00421    object:Spironolactone precipitant: Lisinopril 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB00715    object:Paroxetine precipitant: Amitriptyline 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00575-http://bio2rdf.org/drugbank:DB00726    object:Trimipramine precipitant: Clonidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB00273    object:Valproic Acid precipitant: Topiramate 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB01100    object:Dofetilide precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00916-http://bio2rdf.org/drugbank:DB01008    object:METRONIDAZOLE precipitant: Busulfan 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00636-http://bio2rdf.org/drugbank:DB08860    object:PITAVASTATIN precipitant: Clofibrate 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB06772    object:Cabazitaxel precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00783-http://bio2rdf.org/drugbank:DB00555    object:Estradiol precipitant: Lamotrigine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB05294    object:Domperidone precipitant: VANDETANIB 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB01175    object:Duloxetine precipitant: Escitalopram 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB06772    object:PHENOBARBITAL precipitant: Cabazitaxel 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB01016    object:Sotalol precipitant: Glyburide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB00454    object:Rasagiline precipitant: Pethidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00384    object:TRIAMTERENE precipitant: Lisinopril 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00717-http://bio2rdf.org/drugbank:DB00701    object:NORETHINDRONE precipitant: Amprenavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01241-http://bio2rdf.org/drugbank:DB08860    object:GEMFIBROZIL precipitant: PITAVASTATIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00496    object:Ritonavir precipitant: Darifenacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01029-http://bio2rdf.org/drugbank:DB00421    object:Spironolactone precipitant: Irbesartan 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00683-http://bio2rdf.org/drugbank:DB05521    object:Telaprevir precipitant: Midazolam 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB06772    object:Voriconazole precipitant: Cabazitaxel 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00734    object:Paroxetine precipitant: Risperidone 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB01100    object:Verapamil precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB00321    object:TAPENTADOL precipitant: Amitriptyline 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB00918    object:Almotriptan precipitant: Escitalopram 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB01118    object:AMIODARONE precipitant: Voriconazole 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01339-http://bio2rdf.org/drugbank:DB00479    object:Vecuronium precipitant: Amikacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00953    object:Paroxetine precipitant: Rizatriptan 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00458    object:Imipramine precipitant: Duloxetine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00783    object:PHENOBARBITAL precipitant: Estradiol 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00921-http://bio2rdf.org/drugbank:DB00503    object:Buprenorphine precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00683    object:Midazolam precipitant: Fluconazole 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00625-http://bio2rdf.org/drugbank:DB01319    object:Fosamprenavir precipitant: Efavirenz 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB06204    object:TAPENTADOL precipitant: Rasagiline 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00529-http://bio2rdf.org/drugbank:DB00684    object:FOSCARNET precipitant: Tobramycin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00916-http://bio2rdf.org/drugbank:DB01174    object:METRONIDAZOLE precipitant: PHENOBARBITAL 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00959-http://bio2rdf.org/drugbank:DB00537    object:METHYLPREDNISOLONE precipitant: CIPROFLOXACIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00683-http://bio2rdf.org/drugbank:DB01319    object:Midazolam precipitant: Fosamprenavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB01367    object:Rasagiline precipitant: Amitriptyline 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB00820    object:Tadalafil precipitant: Fosamprenavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00669-http://bio2rdf.org/drugbank:DB00601    object:SUMATRIPTAN precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00717-http://bio2rdf.org/drugbank:DB00400    object:NORETHINDRONE precipitant: GRISEOFULVIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00601-http://bio2rdf.org/drugbank:DB00454    object:Pethidine precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB05351-http://bio2rdf.org/drugbank:DB01072    object:Atazanavir precipitant: TAK-390MR 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00496-http://bio2rdf.org/drugbank:DB01026    object:Ketoconazole precipitant: Darifenacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00570    object:Ketoconazole precipitant: Vinblastine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00601-http://bio2rdf.org/drugbank:DB00458    object:Imipramine precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00503    object:PHENOBARBITAL precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB01319    object:Fosamprenavir precipitant: Methylergometrine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01029-http://bio2rdf.org/drugbank:DB00384    object:TRIAMTERENE precipitant: Irbesartan 	NDF-RT Evidence: None 	World-Vista Evidence: None 
