Drug 1 ATC Code	Drug 1 Name	Drug 1 RxCUI	Drug 1 Class Name	Drug 1 Code	Drug 2 ATC Code	Drug 2 Name	Drug 2 RxCUI	Drug 2 Class Name	Drug 2 Code	Clinical Source	Source File	Description	Severity	Comment
N05BA01	DIAZEPAM	3322			A02BA51	CIMETIDINE	2541			ANSM	169-DIAZEPAM.html	With the cimetidine used in doses greater than or equal to 800 mg/day: accrued risk of drowsiness	Precaution for use	Warn the patient of the increase of risk when driving an automobile or using machinery. 
N05BA01	DIAZEPAM	3322						PHENYTOIN (AND, BY EXTRAPOLATION, FOSPHENYTOIN)	N03AB	ANSM	169-DIAZEPAM.html	Unpredictable variations: the plasma concentrations of phenytoin can increase, with signs of overdose, but also decrease or remain stable.	Precaution for use	Clinical monitoring and testing of the plasma concentrations of phenytoin. 
N05BA01	DIAZEPAM	3322			N03AX17	STIRIPENTOL	37119			ANSM	169-DIAZEPAM.html	Increase of the plasma concentrations of the diazepam, with risk of overdose, due to inhibition of its hepatic metabolism	Precaution for use	Clinical monitoring and plasma dosage, when that is possible, of the anticonvulsant taken with the stiripentol and possible adjustment of the dosage of the anticonvulsant taken with it as well.
P02CA03	ALBENDAZOLE	430						ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001	ANSM	17-ALBENDAZOL.html	Large decrease of the plasma concentrations of the albendazole and of its active metabolite by the inducer, with risk of loss of its effectiveness.	Precaution for use	Clinical monitoring of the therapeutic response and possible adjustment of the dosage of the albendazole during the treatment with the enzymatic inducer and after it is stopped. 
P02CA03	ALBENDAZOLE	430						RITONAVIR BOOSTED PROTEASE INHIBITORS	J05AE-002	ANSM	17-ALBENDAZOL.html	Large decrease of the plasma concentrations of the albendazole and of its active metabolite by the ritonavir, with risk of loss of its effectiveness.	Precaution for use	Clinical monitoring of the therapeutic response and possible adjustment of the dosage of the albendazole during the treatment with the enzymatic inducer [sic] and after it is stopped. 
P02CA03	ALBENDAZOLE	430			J04AB02	RIFAMPICIN	9384			ANSM	17-ALBENDAZOL.html	Large decrease of the plasma concentrations of the albendazole and of its active metabolite by the inducer, with risk of loss of its effectiveness.	Precaution for use	Clinical monitoring of the therapeutic response and possible adjustment of the dosage of the albendazole during the treatment with the enzymatic inducer and after it is stopped. 
P02CA03	ALBENDAZOLE	430			J04AM02	RIFAMPICIN	9384			ANSM	17-ALBENDAZOL.html	Large decrease of the plasma concentrations of the albendazole and of its active metabolite by the inducer, with risk of loss of its effectiveness.	Precaution for use	Clinical monitoring of the therapeutic response and possible adjustment of the dosage of the albendazole during the treatment with the enzymatic inducer and after it is stopped. 
P02CA03	ALBENDAZOLE	430			J04AM05	RIFAMPICIN	9384			ANSM	17-ALBENDAZOL.html	Large decrease of the plasma concentrations of the albendazole and of its active metabolite by the inducer, with risk of loss of its effectiveness.	Precaution for use	Clinical monitoring of the therapeutic response and possible adjustment of the dosage of the albendazole during the treatment with the enzymatic inducer and after it is stopped. 
P02CA03	ALBENDAZOLE	430			J04AM06	RIFAMPICIN	9384			ANSM	17-ALBENDAZOL.html	Large decrease of the plasma concentrations of the albendazole and of its active metabolite by the inducer, with risk of loss of its effectiveness.	Precaution for use	Clinical monitoring of the therapeutic response and possible adjustment of the dosage of the albendazole during the treatment with the enzymatic inducer and after it is stopped. 
J05AF02	DIDANOSINE	3364			M04AA01	ALLOPURINOL	519			ANSM	170-DIDANOSINE.html	Increase of the plasma concentrations of didanosine and of its undesirable effects	Not recommended	
J05AF02	DIDANOSINE	3364			J05AB06	GANCICLOVIR	4678			ANSM	170-DIDANOSINE.html	Risk of increase of the undesirable effects of the didanosine, and especially the mitochondrial toxicity, due to substantial increase of its concentrations. In addition, risk of decrease of the effectiveness of the ganciclovir due to decrease of its concentrations, if the two medications are ingested in an interval of less than 2 hours	Not recommended	
J05AF02	DIDANOSINE	3364			S01AD09	GANCICLOVIR	4678			ANSM	170-DIDANOSINE.html	Risk of increase of the undesirable effects of the didanosine, and especially the mitochondrial toxicity, due to substantial increase of its concentrations. In addition, risk of decrease of the effectiveness of the ganciclovir due to decrease of its concentrations, if the two medications are ingested in an interval of less than 2 hours	Not recommended	
J05AF02	DIDANOSINE	3364			P01CX01	PENTAMIDINE	7994			ANSM	170-DIDANOSINE.html	Increased risk of onset of pancreatitis due to addition of undesirable effects	Precaution for use	Monitoring of the blood amylase level. Do not use these two medications together if the blood amylase level is at the high range of normal. 
J05AF02	DIDANOSINE	3364			J05AB04	RIBAVIRIN	9344			ANSM	170-DIDANOSINE.html	Risk of increase of the mitochrondrial toxicity of the didanosine due to increase of its active metabolite	Not recommended	
J05AF02	DIDANOSINE	3364			J05AF07	TENOFOVIR DISOPROXIL	300195			ANSM	170-DIDANOSINE.html	Risk of failure of the antiretroviral treatment, even emergence of resistance. In addition, increase of the risk of the mitchondrial toxicity of the didanosine	Not recommended	
J05AF02	DIDANOSINE	3364			J05AR06	TENOFOVIR DISOPROXIL	300195			ANSM	170-DIDANOSINE.html	Risk of failure of the antiretroviral treatment, even emergence of resistance. In addition, increase of the risk of the mitchondrial toxicity of the didanosine	Not recommended	
J05AF02	DIDANOSINE	3364			J05AR08	TENOFOVIR DISOPROXIL	300195			ANSM	170-DIDANOSINE.html	Risk of failure of the antiretroviral treatment, even emergence of resistance. In addition, increase of the risk of the mitchondrial toxicity of the didanosine	Not recommended	
J05AF02	DIDANOSINE	3364			J05AR09	TENOFOVIR DISOPROXIL	300195			ANSM	170-DIDANOSINE.html	Risk of failure of the antiretroviral treatment, even emergence of resistance. In addition, increase of the risk of the mitchondrial toxicity of the didanosine	Not recommended	
J05AF02	DIDANOSINE	3364			J05AR03	TENOFOVIR DISOPROXIL	300195			ANSM	170-DIDANOSINE.html	Risk of failure of the antiretroviral treatment, even emergence of resistance. In addition, increase of the risk of the mitchondrial toxicity of the didanosine	Not recommended	
J05AF02	DIDANOSINE	3364			L04AX02	THALIDOMIDE	10432			ANSM	170-DIDANOSINE.html	Increased risk of onset of peripheral neuropathy due to addition of undesirable effects	Precaution for use	Regular clinical monitoring and laboratory tests, especially at the beginning of the administration of the two substances together. 
J05AF02	DIDANOSINE	3364			J05AF03	ZALCITABINE	3363			ANSM	170-DIDANOSINE.html	Increased risk of onset of pancreatitis and of peripheral neuropathy due to addition of undesirable effects	Precaution for use	Regular clinical monitoring and monitoring of the amylasemia. Do not administer these substances together if the amylasemia is at the high range of normal. 
			DIGITALIS GLYCOSIDES	C01AA0	C01BD01	AMIODARONE	703			ANSM	171-DIGITALIS-GLYCOSIDES.html	Depression of autoregulation (excessive bradycardia) and disorders of atrioventricular conduction. When digoxin is used, increase of the digoxinemia due to decrease of the renal clearance of the digoxin.	Precaution for use	Clinical monitoring, EKG, and, when there is reason to, test the digoxinemia and adjust the dosage of the digoxin. 
			DIGITALIS GLYCOSIDES	C01AA0				BETA-BLOCKING AGENTS IN HEART FAILURE	C07AB-003	ANSM	171-DIGITALIS-GLYCOSIDES.html	Disorders of autoregulation (bradycardia, sinus arrest) and disorders of sino-atrial and atrioventricular conduction	Take into account	
			DIGITALIS GLYCOSIDES	C01AA0	A12AA	CALCIUM	1428011			ANSM	171-DIGITALIS-GLYCOSIDES.html	Risk of serious arrhythmias, even lethal ones with the calcium salts administered by IV route	Contraindication	-with calcium salts via IV aside from parenteral supplementation
			DIGITALIS GLYCOSIDES	C01AA0				POTASSIUM LOWERING AGENTS	C03-001	ANSM	171-DIGITALIS-GLYCOSIDES.html	Hypokaliemia promoting the toxic effects of the digitalis glycosides	Precaution for use	Correct any pre-existing hypokaliemia and maintain clinical monitoring, monitoring of electrolyte balance, and electrocardographic monitoring 
			DIGITALIS GLYCOSIDES	C01AA0	C01CA17	MIDODRINE	6963			ANSM	171-DIGITALIS-GLYCOSIDES.html	Disorders of autoregulation (increase of the bradycardia inducing effect of the midodrine) and disorders of atrioventricular conduction	Not recommended	If administering theses substances together cannot be avoided, strengthen clinical monitoring and EKG.
C01AA04	DIGITOXIN	3403						PHENOBARBITAL (AND, BY EXTRAPOLATION, PRIMIDONE)	N03AA-001	ANSM	172-DIGITOXIN.html	Decrease of the plasma concentrations and of the effectiveness of the digitoxin (increase of its hepatic metabolism)	Precaution for use	Clinical monitoring, EKG, and, possibly, monitoring of the digitoxinemia. If there is reason for it, adjustment of the dosage of the digitoxin during the administration of these substances together and after it is stopped, or choose digoxin, less metabolized by the liver. 
C01AA04	DIGITOXIN	3403			J04AB02	RIFAMPICIN	9384			ANSM	172-DIGITOXIN.html	Decrease of the plasma concentrations and of the effectiveness of the digitoxin due to increase of its hepatic metabolism. 	Precaution for use. 	Clinical monitoring, EKG, and, possibly, monitoring of the blood level of digitoxin. If there is reason for it, adjustment of the dosage of the digitoxin during the administration of these substances together and after it is stopped, or choose digoxin, less metabolized by the liver. 
C01AA04	DIGITOXIN	3403			J04AM02	RIFAMPICIN	9384			ANSM	172-DIGITOXIN.html	Decrease of the plasma concentrations and of the effectiveness of the digitoxin due to increase of its hepatic metabolism. 	Precaution for use. 	Clinical monitoring, EKG, and, possibly, monitoring of the blood level of digitoxin. If there is reason for it, adjustment of the dosage of the digitoxin during the administration of these substances together and after it is stopped, or choose digoxin, less metabolized by the liver. 
C01AA04	DIGITOXIN	3403			J04AM05	RIFAMPICIN	9384			ANSM	172-DIGITOXIN.html	Decrease of the plasma concentrations and of the effectiveness of the digitoxin due to increase of its hepatic metabolism. 	Precaution for use. 	Clinical monitoring, EKG, and, possibly, monitoring of the blood level of digitoxin. If there is reason for it, adjustment of the dosage of the digitoxin during the administration of these substances together and after it is stopped, or choose digoxin, less metabolized by the liver. 
C01AA04	DIGITOXIN	3403			J04AM06	RIFAMPICIN	9384			ANSM	172-DIGITOXIN.html	Decrease of the plasma concentrations and of the effectiveness of the digitoxin due to increase of its hepatic metabolism. 	Precaution for use. 	Clinical monitoring, EKG, and, possibly, monitoring of the blood level of digitoxin. If there is reason for it, adjustment of the dosage of the digitoxin during the administration of these substances together and after it is stopped, or choose digoxin, less metabolized by the liver. 
C01AA05	DIGOXIN 	3407			J01FA10	AZITHROMYCIN	18631			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to increase of its absorption	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during treatment with the azithromycin and after it is stopped. 
C01AA05	DIGOXIN 	3407			N03AF01	CARBAMAZEPINE	2002			ANSM	173-DIGOXIN.html	Increase of the plasma concentrations of carbamazepine and decrease of the digoxinemia	Precaution for use	Exercise caution in the interpretation of the plasma concentrations.
C01AA05	DIGOXIN 	3407			J01FA09	CLARITHROMYCIN	21212			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to increase of its absorption	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during the treatment with the clarithromycin and after it is stopped. 
C01AA05	DIGOXIN 	3407			A02BD04	CLARITHROMYCIN	21212			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to increase of its absorption	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during the treatment with the clarithromycin and after it is stopped. 
C01AA05	DIGOXIN 	3407			A02BD05	CLARITHROMYCIN	21212			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to increase of its absorption	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during the treatment with the clarithromycin and after it is stopped. 
C01AA05	DIGOXIN 	3407			A02BD06	CLARITHROMYCIN	21212			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to increase of its absorption	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during the treatment with the clarithromycin and after it is stopped. 
C01AA05	DIGOXIN 	3407			A02BD07	CLARITHROMYCIN	21212			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to increase of its absorption	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during the treatment with the clarithromycin and after it is stopped. 
C01AA05	DIGOXIN 	3407			C01BD07	DRONEDARONE	233698			ANSM	173-DIGOXIN.html	Depression of autoregulation (excessive bradycardia) and disorders of atrioventricular conduction. In addition, increase of the digoxinemia due to decrease of the metabolism of the digoxin. Clinical monitoring and EKG. 	Not recommended	Reduce the doses of digoxin by half. 
C01AA05	DIGOXIN 	3407			D10AF02	ERYTHROMYCIN	4053			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to increase of its absorption	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during the treatment with the erythromycin and after it is stopped. 
C01AA05	DIGOXIN 	3407			D10AF52	ERYTHROMYCIN	4053			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to increase of its absorption	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during the treatment with the erythromycin and after it is stopped. 
C01AA05	DIGOXIN 	3407			J01FA01	ERYTHROMYCIN	4053			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to increase of its absorption	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during the treatment with the erythromycin and after it is stopped. 
C01AA05	DIGOXIN 	3407			S01AA17	ERYTHROMYCIN	4053			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to increase of its absorption	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during the treatment with the erythromycin and after it is stopped. 
C01AA05	DIGOXIN 	3407				HYDROQUINIDINE	27220			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to decrease of the renal clearance of the digoxin. In addition, disorders of autoregulation (excessive bradycardia and disorders of atrioventricular conduction).	Precaution for use	Clinical monitoring and EKG. In the case of unexpected results, test the digoxinemia and adjust the dosage. 
C01AA05	DIGOXIN 	3407						RITONAVIR BOOSTED PROTEASE INHIBITORS	J05AE-002	ANSM	173-DIGOXIN.html	Increase of the digoxinemia, more marked for IV route, due to increase of the absorption of the digoxin or decrease of its renal clearance.	Precaution for use	Clinical monitoring and, if there is reason for them, EKG and monitoring of the digoxinemia, with possible adjustment of the dosage of digoxin.
C01AA05	DIGOXIN 	3407			J02AC02	ITRACONAZOLE	28031			ANSM	173-DIGOXIN.html	Increase of the digoxinemia with nausea, vomiting, arrhythmias.	Precaution for use	Clinical monitoring, and, if there is reason for them, EKG, and monitoring of the digoxinemia with adjustment of the dosage of the digoxin during the treatment with the itraconazole and after it is stopped.
C01AA05	DIGOXIN 	3407				ST JOHNS WORT	258326			ANSM	173-DIGOXIN.html	Decrease of the digoxinemia, by reason of the enzyme inducer effect of the St Johns wort, with risk of reduction of effectiveness, even complete loss of the effect, which can have possibly serious consequences (acute decompensated heart failure). 	Contraindication	In the case of the two substances being taken together by accident, do not stop the St Johns wort abruptly, but test the plasma concentrations (or the effectiveness) of the digoxin before and then after the St Johns wort is stopped. 
C01AA05	DIGOXIN 	3407			A02BC01	OMEPRAZOLE	7646			ANSM	173-DIGOXIN.html	Moderate increase of the digoxinemia due to increase of its absorption by the omeprazole	Precaution for use	Clinical monitoring, EKG, and monitoring of the digoxinemia, particularly with an older patient. 
C01AA05	DIGOXIN 	3407			A02BD05	OMEPRAZOLE	7646			ANSM	173-DIGOXIN.html	Moderate increase of the digoxinemia due to increase of its absorption by the omeprazole	Precaution for use	Clinical monitoring, EKG, and monitoring of the digoxinemia, particularly with an older patient. 
C01AA05	DIGOXIN 	3407			A02BD01	OMEPRAZOLE	7646			ANSM	173-DIGOXIN.html	Moderate increase of the digoxinemia due to increase of its absorption by the omeprazole	Precaution for use	Clinical monitoring, EKG, and monitoring of the digoxinemia, particularly with an older patient. 
C01AA05	DIGOXIN 	3407			J02AC04	POSACONAZOLE	282446			ANSM	173-DIGOXIN.html	Increase of the digoxinemia with nausea, vomiting, arrhythmias.	Precaution for use	Clinical monitoring, and, if there is reason for them, EKG and monitoring of the digoxinemia, with adjustment of the dosage of the digxoin during the treatment with the posaconazole and after it is stopped.
C01AA05	DIGOXIN 	3407			C01BC03	PROPAFENONE	8754			ANSM	173-DIGOXIN.html	Risk of increase of the digoxinemia, especially with older patients	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during the treatment with propafenone and after it is stopped.
C01AA05	DIGOXIN 	3407			C01BA01	QUINIDINE	9068			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to decrease of the renal clearance of the digoxin. In addition, disorders of autoregulation (excessive bradycardia and disorders of atrioventricular conduction)	Precaution for use	Clinical monitoring and EKG. In the case of an unexpected result, test the digoxinemia and adjust the dosage. 
C01AA05	DIGOXIN 	3407			C01BA51	QUINIDINE	9068			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to decrease of the renal clearance of the digoxin. In addition, disorders of autoregulation (excessive bradycardia and disorders of atrioventricular conduction)	Precaution for use	Clinical monitoring and EKG. In the case of an unexpected result, test the digoxinemia and adjust the dosage. 
C01AA05	DIGOXIN 	3407			C01BA71	QUINIDINE	9068			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to decrease of the renal clearance of the digoxin. In addition, disorders of autoregulation (excessive bradycardia and disorders of atrioventricular conduction)	Precaution for use	Clinical monitoring and EKG. In the case of an unexpected result, test the digoxinemia and adjust the dosage. 
C01AA05	DIGOXIN 	3407			P01BC01	QUININE	9071			ANSM	173-DIGOXIN.html	Moderate increase of the digoxinemia	Precaution for use	Clinical monitoring and EKG, if needed, with possible adjustment of the doses of digoxin.
C01AA05	DIGOXIN 	3407			M09AA72	QUININE	9071			ANSM	173-DIGOXIN.html	Moderate increase of the digoxinemia	Precaution for use	Clinical monitoring and EKG, if needed, with possible adjustment of the doses of digoxin.
C01AA05	DIGOXIN 	3407			M09AA	QUININE	9071			ANSM	173-DIGOXIN.html	Moderate increase of the digoxinemia	Precaution for use	Clinical monitoring and EKG, if needed, with possible adjustment of the doses of digoxin.
C01AA05	DIGOXIN 	3407			C01EB18	RANOLAZINE	35829			ANSM	173-DIGOXIN.html	Increase of the digoxinemia	Precaution for use	Clinical monitoring, laboratory tests, and possibly EKG. Adjustment of the dosage of the digoxin if needed.
C01AA05	DIGOXIN 	3407			A02BX02	SUCRALFATE	10156			ANSM	173-DIGOXIN.html	Decrease of the digestive absorption of the digoxin	Precaution for use	Take the sucralfate at a different time from the digoxin (more than 2 hours apart, if possible).
C01AA05	DIGOXIN 	3407			A07EC01	SULFASALAZINE	9524			ANSM	173-DIGOXIN.html	Decrease of the digoxinemia that can reach 50%	Precaution for use	Clinical monitoring, EKG, and, possibly, monitoring of the digoxinemia. If there is reason for it, adjustment of the dosage of the digoxin during the treatment with the sulfasalazine and after it is stopped.
C01AA05	DIGOXIN 	3407			J05AE11	TELAPREVIR	1102261			ANSM	173-DIGOXIN.html	Increase of the digoxinemia	Precaution for use	Clinical monitoring, laboratory tests, and adjustment, if needed, of the dosage of the digoxin during the treatment with the telaprevir and after it is stopped.
C01AA05	DIGOXIN 	3407			J01FA15	TELITHROMYCIN	274786			ANSM	173-DIGOXIN.html	Increase of the digoxinemia due to increase of its absorption	Precaution for use	Clinical monitoring and possibly monitoring of the digoxinemia during the treatment with the telithromycin and after it is stopped
C01AA05	DIGOXIN 	3407			C08DA01	VERAPAMIL	11170			ANSM	173-DIGOXIN.html	Excessive bradycardia and atrioventricular block due to increase of the effects of the digoxin on autoregulation and conduction and due to decrease of the renal and extra-renal elimination of the digoxin	Precaution for use	Clinical monitoring, EKG, and, possibly, testing of the digoxinemia. If there is reason for it, adjustment of the dosage of the digoxin during the treatment with the verapamil and after it is stopped.
C01AA05	DIGOXIN 	3407			C08DA51	VERAPAMIL	11170			ANSM	173-DIGOXIN.html	Excessive bradycardia and atrioventricular block due to increase of the effects of the digoxin on autoregulation and conduction and due to decrease of the renal and extra-renal elimination of the digoxin	Precaution for use	Clinical monitoring, EKG, and, possibly, testing of the digoxinemia. If there is reason for it, adjustment of the dosage of the digoxin during the treatment with the verapamil and after it is stopped.
C01AA05	DIGOXIN 	3407			C09BB10	VERAPAMIL	11170			ANSM	173-DIGOXIN.html	Excessive bradycardia and atrioventricular block due to increase of the effects of the digoxin on autoregulation and conduction and due to decrease of the renal and extra-renal elimination of the digoxin	Precaution for use	Clinical monitoring, EKG, and, possibly, testing of the digoxinemia. If there is reason for it, adjustment of the dosage of the digoxin during the treatment with the verapamil and after it is stopped.
N02CA01	DIHYDROERGOTAMINE	3418			J01FG02	DALFOPRISTIN	229369			ANSM	174-DIHYDROERGOTAMINE.html	Ergotism with possibility of necrosis of the extremities (inhibition of the hepatic metabolism of the alkaloid of ergot of rye).	Contraindication	
N02CA01	DIHYDROERGOTAMINE	3418			C08DB01	DILTIAZEM	3443			ANSM	174-DIHYDROERGOTAMINE.html	Ergotism with possibility of necrosis of the extremities (inhibition of the hepatic metabolism of the alkaloid of ergot of rye).	Contraindication	
N02CA01	DIHYDROERGOTAMINE	3418			J05AG03	EFAVIRENZ	195085			ANSM	174-DIHYDROERGOTAMINE.html	Ergotism with possibility of necrosis of the extremities (inhibition of the hepatic metabolism of the alkaloid of ergot of rye).	Contraindication	
N02CA01	DIHYDROERGOTAMINE	3418			J05AR06	EFAVIRENZ	195085			ANSM	174-DIHYDROERGOTAMINE.html	Ergotism with possibility of necrosis of the extremities (inhibition of the hepatic metabolism of the alkaloid of ergot of rye).	Contraindication	
N02CA01	DIHYDROERGOTAMINE	3418						MACROLIDES (EXCEPT SPIRAMYCIN)	J01FA	ANSM	174-DIHYDROERGOTAMINE.html	Ergotism with possibility of necrosis of the extremities (inhibition of the hepatic elimination of the alkaloid of ergot of rye).	Contraindication	
N02CA01	DIHYDROERGOTAMINE	3418			J01FG02	QUINUPRISTINE	135098			ANSM	174-DIHYDROERGOTAMINE.html	Ergotism with possibility of necrosis of the extremities (inhibition of the hepatic metabolism of the alkaloid of ergot of rye).	Contraindication	
N02CA01	DIHYDROERGOTAMINE	3418			N03AX17	STIRIPENTOL	37119			ANSM	174-DIHYDROERGOTAMINE.html	Ergotism with possibility of necrosis of the extremities (inhibition of the hepatic elimination of the alkaloid of ergot of rye).	Contraindication	
N02CA01	DIHYDROERGOTAMINE	3418			P02BX04	TRICLABENDAZOLE	38608			ANSM	174-DIHYDROERGOTAMINE.html	Ergotism with possibility of necrosis of the extremities (inhibition of the hepatic metabolism of the alkaloid of ergot of rye).	Contraindication 	Wait 24 hours between stopping the triclabendazole and taking the medication derived from ergot of rye, and the reverse.
N02CA01	DIHYDROERGOTAMINE	3418			J02AC03	VORICONAZOLE	121243			ANSM	174-DIHYDROERGOTAMINE.html	Ergotism with possibility of necrosis of the extremities (inhibition of the hepatic metabolism of the alkaloid of ergot of rye).	Contraindication	
			DIHYDROPYRIDINES	C08CA-002				BETA BLOCKING AGENTS (EXCEPT ESMOLOL)	C07AB-002	ANSM	175-DIHYDROPYRIDINES.html	Hypotension, heart failure with patients having latent or uncontrolled cardiac insufficiency (addition of the negative inotropic effects). The beta blocking agent can furthermore minimize the sympathetic reflex reaction brought into play in the case of excessive hemodynamic repercussion	Take into account	
			DIHYDROPYRIDINES	C08CA-002				BETA-BLOCKING AGENTS IN HEART FAILURE	C07AB-003	ANSM	175-DIHYDROPYRIDINES.html	Hypotension, heart failure in patients with latent or uncontrolled cardiac insufficiency (negative inotropic effect of the dihydropyridines in vitro, more or less marked, and susceptible of adding to the negative inotropic effects of the beta blocking agents). The presence of a beta-blocking treatment can furthermore minimize the sympathetic reflex reaction put into play in cases of excessive hemodynamic repercussion. 	Take into account	
			DIHYDROPYRIDINES	C08CA-002	M03CA	DANTROLENE	3105			ANSM	175-DIHYDROPYRIDINES.html	With the dantrolene administered via IV: with animals, fatal cases of ventricular fibrillations are constantly observed when verapamil and dantrolene are administered via IV route. The administration of a calcium channel blocker and dantrolene together is thus potentially dangerous. However, some patients have received nifedipine and dantrolene together without incident	Not recommended	
			DIHYDROPYRIDINES	C08CA-002	M03CA01	DANTROLENE	3105			ANSM	175-DIHYDROPYRIDINES.html	With the dantrolene administered via IV: with animals, fatal cases of ventricular fibrillations are constantly observed when verapamil and dantrolene are administered via IV route. The administration of a calcium channel blocker and dantrolene together is thus potentially dangerous. However, some patients have received nifedipine and dantrolene together without incident	Not recommended	
C08DB01	DILTIAZEM	3443			N01AH02	ALFENTANIL 	480			ANSM	176-DILTIAZEM.html	Increase of the opioid analgesic's effect of respiratory depression due to decrease of its hepatic metabolism	Precaution for use:	Adjust the dosage of the alfentanil when administered with the diltiazem. 
C08DB01	DILTIAZEM	3443			C01BD01	AMIODARONE	703			ANSM	176-DILTIAZEM.html	For diltiazem by injection: risk of bradycardia and of atrioventricular blockFor deltiazem by mouth: risk of bradycardia or of atrioventricular block, especially in older persons.	Not recommended	-with diltiazem administered intravenously
C08DB01	DILTIAZEM	3443			C10AA05	ATORVASTATIN	83367			ANSM	176-DILTIAZEM.html	Increased risk of undesirable effects (concentration-dependant) of the rhabodmyolysis type due to decrease of the hepatic metabolism of the cholesterol lowering agent	Precaution for use	Use lower doses of the cholesterol lowering agent or another statin not affected by this type of interaction.
C08DB01	DILTIAZEM	3443						BETA BLOCKING AGENTS (EXCEPT ESMOLOL)	C07AB-002	ANSM	176-DILTIAZEM.html	Disorders of autoregulation (excessive bradycardia, sinus arrest), disorders of sinoatrial and atrioventricular conduction, and cardiac failure	Not recommended	The administration of these medications together should only be done under strict clinical monitoring and EKG, in particular with older patients or at the beginning of treatment.
C08DB01	DILTIAZEM	3443						BETA-BLOCKING AGENTS IN HEART FAILURE	C07AB-003	ANSM	176-DILTIAZEM.html	Negative inotropic effect with risk of acute decompensated heart failure, disorders of autoregulation (bradycardia, sinus arrest), and disorders of sinoatrial and atrioventricular conduction	Not recommended	
C08DB01	DILTIAZEM	3443			N05BE01	BUSPIRONE	1827			ANSM	176-DILTIAZEM.html	Increase of the plasma concentrations of the buspirone due to decrease of its hepatic metabolism by the diltiazem, with increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buspirone if necessary.
C08DB01	DILTIAZEM	3443			C02AC01	CLONIDINE	2599			ANSM	176-DILTIAZEM.html	Disorders of autoregulation (disorders of atrioventricular conduction due to addition of the negative effects on conduction)	Take into account	
C08DB01	DILTIAZEM	3443			N02CX02	CLONIDINE	2599			ANSM	176-DILTIAZEM.html	Disorders of autoregulation (disorders of atrioventricular conduction due to addition of the negative effects on conduction)	Take into account	
C08DB01	DILTIAZEM	3443			S01EA04	CLONIDINE	2599			ANSM	176-DILTIAZEM.html	Disorders of autoregulation (disorders of atrioventricular conduction due to addition of the negative effects on conduction)	Take into account	
C08DB01	DILTIAZEM	3443			C02LC01	CLONIDINE	2599			ANSM	176-DILTIAZEM.html	Disorders of autoregulation (disorders of atrioventricular conduction due to addition of the negative effects on conduction)	Take into account	
C08DB01	DILTIAZEM	3443			C02LC51	CLONIDINE	2599			ANSM	176-DILTIAZEM.html	Disorders of autoregulation (disorders of atrioventricular conduction due to addition of the negative effects on conduction)	Take into account	
C08DB01	DILTIAZEM	3443			M03CA	DANTROLENE	3105			ANSM	176-DILTIAZEM.html	With the dantrolene administered by IV: with animals, fatal cases of ventricular fibrillations are constantly observed when verapamil and dantrolene are administered by IV route. The administration of a calcium channel blocker and dantolene together is thus potentially dangerous. However, some patients have received nifedipine and dantolene together without incident	Contraindication	
C08DB01	DILTIAZEM	3443			M03CA01	DANTROLENE	3105			ANSM	176-DILTIAZEM.html	With the dantrolene administered by IV: with animals, fatal cases of ventricular fibrillations are constantly observed when verapamil and dantrolene are administered by IV route. The administration of a calcium channel blocker and dantolene together is thus potentially dangerous. However, some patients have received nifedipine and dantolene together without incident	Contraindication	
C08DB01	DILTIAZEM	3443			N02CA01	DIHYDROERGOTAMINE	3418			ANSM	176-DILTIAZEM.html	Ergotism with possibility of necrosis of the extremities (inhibition of the hepatic metabolism of the alkaloid of ergot of rye).	Contraindication	
