object_drugbank,object,precipitant_drugbank,precipitant
DB00381,Amlodipine,DB01369,Quinupristin
DB00381,Amlodipine,DB00382,Tacrine
DB00381,Amlodipine,DB05521,Telaprevir
DB00381,Amlodipine,DB00976,Telithromycin
DB00381,Amlodipine,DB00599,Thiopental
DB00381,Amlodipine,DB00932,Tipranavir
DB00381,Amlodipine,DB00697,Tizanidine
DB00381,Amlodipine,DB00374,Treprostinil
DB00381,Amlodipine,DB00582,Voriconazole
DB00382,Tacrine,DB01063,Acetophenazine
DB00382,Tacrine,DB03128,Acetylcholine
DB00382,Tacrine,DB01246,Alimemazine
DB00382,Tacrine,DB01122,Ambenonium
DB00382,Tacrine,DB01223,Aminophylline
DB00382,Tacrine,DB00321,Amitriptyline
DB00382,Tacrine,DB00381,Amlodipine
DB00382,Tacrine,DB00543,Amoxapine
DB00382,Tacrine,DB01238,Aripiprazole
DB00382,Tacrine,DB00572,Atropine
DB00382,Tacrine,DB00972,Azelastine
DB00382,Tacrine,DB06769,Bendamustine
DB00382,Tacrine,DB00245,Benzatropine
DB00382,Tacrine,DB00443,Betamethasone
DB00382,Tacrine,DB01019,Bethanechol
DB00382,Tacrine,DB00810,Biperiden
DB00382,Tacrine,DB01237,Bromodiphenhydramine
DB00382,Tacrine,DB00835,Brompheniramine
DB00382,Tacrine,DB00411,Carbachol
DB00382,Tacrine,DB00748,Carbinoxamine
DB00382,Tacrine,DB00185,Cevimeline
DB00382,Tacrine,DB01114,Chlorphenamine
DB00382,Tacrine,DB00477,Chlorpromazine
DB00382,Tacrine,DB00501,Cimetidine
DB00382,Tacrine,DB00537,Ciprofloxacin
DB00382,Tacrine,DB00283,Clemastine
DB00382,Tacrine,DB00771,Clidinium
DB00382,Tacrine,DB01242,Clomipramine
DB00382,Tacrine,DB00363,Clozapine
DB00382,Tacrine,DB01285,Corticotropin
DB00382,Tacrine,DB01380,Cortisone acetate
DB00382,Tacrine,DB01176,Cyclizine
DB00382,Tacrine,DB00924,Cyclobenzaprine
DB00382,Tacrine,DB00979,Cyclopentolate
DB00382,Tacrine,DB00434,Cyproheptadine
DB00382,Tacrine,DB00496,Darifenacin
DB00382,Tacrine,DB00944,Demecarium
DB00382,Tacrine,DB01151,Desipramine
DB00382,Tacrine,DB00967,Desloratadine
DB00382,Tacrine,DB01234,Dexamethasone
DB00382,Tacrine,DB00405,Dexbrompheniramine
DB00382,Tacrine,DB00586,Diclofenac
DB00382,Tacrine,DB00804,Dicyclomine
DB00382,Tacrine,DB00985,Dimenhydrinate
DB00382,Tacrine,DB01075,Diphenhydramine
DB00382,Tacrine,DB01142,Doxepin
DB00382,Tacrine,DB00366,Doxylamine
DB00382,Tacrine,DB00450,Droperidol
DB00382,Tacrine,DB01010,Edrophonium
DB00382,Tacrine,DB00950,Fexofenadine
DB00382,Tacrine,DB01148,Flavoxate
DB00382,Tacrine,DB00687,Fludrocortisone
DB00382,Tacrine,DB00472,Fluoxetine
DB00382,Tacrine,DB00875,Flupentixol
DB00382,Tacrine,DB00623,Fluphenazine
DB00382,Tacrine,DB00176,Fluvoxamine
DB00382,Tacrine,DB01241,Gemfibrozil
DB00382,Tacrine,DB01381,Ginkgo biloba
DB00382,Tacrine,DB00986,Glycopyrrolate
DB00382,Tacrine,DB00536,Guanidine
DB00382,Tacrine,DB00502,Haloperidol
DB00382,Tacrine,DB00725,Homatropine Methylbromide
DB00382,Tacrine,DB00741,Hydrocortisone
DB00382,Tacrine,DB00557,Hydroxyzine
DB00382,Tacrine,DB00424,Hyoscyamine
DB00382,Tacrine,DB00458,Imipramine
DB00382,Tacrine,DB00332,Ipratropium bromide
DB00382,Tacrine,DB01247,Isocarboxazid
DB00382,Tacrine,DB01026,Ketoconazole
DB00382,Tacrine,DB00920,Ketotifen
DB00382,Tacrine,DB00281,Lidocaine
DB00382,Tacrine,DB00455,Loratadine
DB00382,Tacrine,DB00408,Loxapine
DB00382,Tacrine,DB00934,Maprotiline
DB00382,Tacrine,DB00737,Meclizine
DB00382,Tacrine,DB04843,Mepenzolate
DB00382,Tacrine,DB00933,Mesoridazine
DB00382,Tacrine,DB00940,Methantheline
DB00382,Tacrine,DB00553,Methoxsalen
DB00382,Tacrine,DB00959,Methylprednisolone
DB00382,Tacrine,DB00462,Methylscopolamine bromide
DB00382,Tacrine,DB00379,Mexiletine
DB00382,Tacrine,DB01110,Miconazole
DB00382,Tacrine,DB01171,Moclobemide
DB00382,Tacrine,DB01618,Molindone
DB00382,Tacrine,DB01115,Nifedipine
DB00382,Tacrine,DB01059,Norfloxacin
DB00382,Tacrine,DB00540,Nortriptyline
DB00382,Tacrine,DB01165,Ofloxacin
DB00382,Tacrine,DB00334,Olanzapine
DB00382,Tacrine,DB01173,Orphenadrine
DB00382,Tacrine,DB01303,Oxtriphylline
DB00382,Tacrine,DB01062,Oxybutynin
DB00382,Tacrine,DB01267,Paliperidone
DB00382,Tacrine,DB00850,Perphenazine
DB00382,Tacrine,DB00780,Phenelzine
DB00382,Tacrine,DB01619,Phenindamine
DB00382,Tacrine,DB01085,Pilocarpine
DB00382,Tacrine,DB01100,Pimozide
DB00382,Tacrine,DB06153,Pizotifen
DB00382,Tacrine,DB00860,Prednisolone
DB00382,Tacrine,DB00635,Prednisone
DB00382,Tacrine,DB01087,Primaquine
DB00382,Tacrine,DB00433,Prochlorperazine
DB00382,Tacrine,DB00387,Procyclidine
DB00382,Tacrine,DB01069,Promethazine
DB00382,Tacrine,DB00782,Propantheline
DB00382,Tacrine,DB00818,Propofol
DB00382,Tacrine,DB00344,Protriptyline
DB00382,Tacrine,DB01224,Quetiapine
DB00382,Tacrine,DB00980,Ramelteon
DB00382,Tacrine,DB00734,Risperidone
DB00382,Tacrine,DB00747,Scopolamine
DB00382,Tacrine,DB01591,Solifenacin
DB00382,Tacrine,DB00202,Succinylcholine
DB00382,Tacrine,DB00277,Theophylline
DB00382,Tacrine,DB00730,Thiabendazole
DB00382,Tacrine,DB00679,Thioridazine
DB00382,Tacrine,DB01623,Thiothixene
DB00382,Tacrine,DB01409,Tiotropium
DB00382,Tacrine,DB01036,Tolterodine
DB00382,Tacrine,DB00752,Tranylcypromine
DB00382,Tacrine,DB00620,Triamcinolone
DB00382,Tacrine,DB00831,Trifluoperazine
DB00382,Tacrine,DB00376,Trihexyphenidyl
DB00382,Tacrine,DB00662,Trimethobenzamide
DB00382,Tacrine,DB00726,Trimipramine
DB00382,Tacrine,DB00427,Triprolidine
DB00382,Tacrine,DB00209,Trospium
DB00382,Tacrine,DB00246,Ziprasidone
DB00382,Tacrine,DB01624,Zuclopenthixol
DB00382,Tacrine,DB08919,Zuclopenthixol acetate
DB00382,Tacrine,DB08920,Zuclopenthixol decanoate
DB00383,Oxyphencyclimine,DB00502,Haloperidol
DB00384,Triamterene,DB00542,Benazepril
DB00384,Triamterene,DB00796,Candesartan
DB00384,Triamterene,DB01197,Captopril
DB00384,Triamterene,DB01340,Cilazapril
DB00384,Triamterene,DB01395,Drospirenone
DB00384,Triamterene,DB00584,Enalapril
DB00384,Triamterene,DB00700,Eplerenone
DB00384,Triamterene,DB00876,Eprosartan
DB00384,Triamterene,DB01342,Forasartan
DB00384,Triamterene,DB00492,Fosinopril
DB00384,Triamterene,DB00328,Indomethacin
DB00384,Triamterene,DB01029,Irbesartan
DB00384,Triamterene,DB00722,Lisinopril
DB00384,Triamterene,DB00678,Losartan
DB00384,Triamterene,DB00691,Moexipril
DB00384,Triamterene,DB00790,Perindopril
DB00384,Triamterene,DB01344,Polystyrene sulfonate
DB00384,Triamterene,DB01345,Potassium
DB00384,Triamterene,DB00881,Quinapril
DB00384,Triamterene,DB00178,Ramipril
DB00384,Triamterene,DB01347,Saprisartan
DB00384,Triamterene,DB01348,Spirapril
DB00384,Triamterene,DB01349,Tasosartan
DB00384,Triamterene,DB00966,Telmisartan
DB00384,Triamterene,DB00519,Trandolapril
DB00384,Triamterene,DB00374,Treprostinil
DB00384,Triamterene,DB00177,Valsartan
DB00385,Valrubicin,DB01248,Docetaxel
DB00385,Valrubicin,DB00108,Natalizumab
DB00385,Valrubicin,DB01229,Paclitaxel
DB00385,Valrubicin,DB00072,Trastuzumab
DB00386,Alseroxylon,DB00668,Epinephrine
DB00386,Alseroxylon,DB01288,Fenoterol
DB00386,Alseroxylon,DB00816,Orciprenaline
DB00386,Alseroxylon,DB00388,Phenylephrine
DB00386,Alseroxylon,DB00397,Phenylpropanolamine
DB00386,Alseroxylon,DB00852,Pseudoephedrine
DB00386,Alseroxylon,DB00871,Terbutaline
DB00387,Procyclidine,DB00843,Donepezil
DB00387,Procyclidine,DB00674,Galantamine
DB00387,Procyclidine,DB00502,Haloperidol
DB00387,Procyclidine,DB00382,Tacrine
DB00387,Procyclidine,DB00662,Trimethobenzamide
DB00387,Procyclidine,DB00427,Triprolidine
DB00387,Procyclidine,DB00209,Trospium
DB00388,Phenylephrine,DB00386,Alseroxylon
DB00388,Phenylephrine,DB00321,Amitriptyline
DB00388,Phenylephrine,DB00543,Amoxapine
DB00388,Phenylephrine,DB01242,Clomipramine
DB00388,Phenylephrine,DB01089,Deserpidine
DB00388,Phenylephrine,DB01151,Desipramine
DB00388,Phenylephrine,DB01142,Doxepin
DB00388,Phenylephrine,DB01253,Ergonovine
DB00388,Phenylephrine,DB01170,Guanethidine
DB00388,Phenylephrine,DB00458,Imipramine
DB00388,Phenylephrine,DB06704,Iobenguane
DB00388,Phenylephrine,DB01247,Isocarboxazid
DB00388,Phenylephrine,DB00601,Linezolid
DB00388,Phenylephrine,DB00968,Methyldopa
DB00388,Phenylephrine,DB00353,Methylergometrine
DB00388,Phenylephrine,DB00211,Midodrine
DB00388,Phenylephrine,DB01171,Moclobemide
DB00388,Phenylephrine,DB00540,Nortriptyline
DB00388,Phenylephrine,DB00107,Oxytocin
DB00388,Phenylephrine,DB01626,Pargyline
DB00388,Phenylephrine,DB00780,Phenelzine
DB00388,Phenylephrine,DB00344,Protriptyline
DB00388,Phenylephrine,DB01367,Rasagiline
DB00388,Phenylephrine,DB00206,Reserpine
DB00388,Phenylephrine,DB00752,Tranylcypromine
DB00388,Phenylephrine,DB00726,Trimipramine
DB00390,Digoxin,DB00284,Acarbose
DB00390,Digoxin,DB00404,Alprazolam
DB00390,Digoxin,DB01118,Amiodarone
DB00390,Digoxin,DB00436,Bendroflumethiazide
DB00390,Digoxin,DB00562,Benzthiazide
DB00390,Digoxin,DB00290,Bleomycin
DB00390,Digoxin,DB06616,Bosutinib
DB00390,Digoxin,DB00887,Bumetanide
DB00390,Digoxin,DB08907,Canagliflozin
DB00390,Digoxin,DB00262,Carmustine
DB00390,Digoxin,DB01136,Carvedilol
DB00390,Digoxin,DB00880,Chlorothiazide
DB00390,Digoxin,DB00310,Chlorthalidone
DB00390,Digoxin,DB01432,Cholestyramine
DB00390,Digoxin,DB08810,Cinitapride
DB00390,Digoxin,DB01211,Clarithromycin
DB00390,Digoxin,DB00375,Colestipol
DB00390,Digoxin,DB00531,Cyclophosphamide
DB00390,Digoxin,DB00091,Cyclosporine
DB00390,Digoxin,DB00606,Cyclothiazide
DB00390,Digoxin,DB00987,Cytarabine
DB00390,Digoxin,DB00509,Dextrothyroxine
DB00390,Digoxin,DB00829,Diazepam
DB00390,Digoxin,DB01341,Dihydroquinidine barbiturate
DB00390,Digoxin,DB00997,Doxorubicin
DB00390,Digoxin,DB04855,Dronedarone
DB00390,Digoxin,DB00199,Erythromycin
DB00390,Digoxin,DB00903,Ethacrynic acid
DB00390,Digoxin,DB06414,Etravirine
DB00390,Digoxin,DB00695,Furosemide
DB00390,Digoxin,DB01044,Gatifloxacin
DB00390,Digoxin,DB01404,Ginseng
DB00390,Digoxin,DB00999,Hydrochlorothiazide
DB00390,Digoxin,DB00774,Hydroflumethiazide
DB00390,Digoxin,DB01611,Hydroxychloroquine
DB00390,Digoxin,DB00808,Indapamide
DB00390,Digoxin,DB01167,Itraconazole
DB00390,Digoxin,DB01321,Josamycin
DB00390,Digoxin,DB00451,Levothyroxine
DB00390,Digoxin,DB00279,Liothyronine
DB00390,Digoxin,DB01583,Liotrix
DB00390,Digoxin,DB06655,Liraglutide
DB00390,Digoxin,DB00763,Methimazole
DB00390,Digoxin,DB00563,Methotrexate
DB00390,Digoxin,DB00232,Methyclothiazide
DB00390,Digoxin,DB00524,Metolazone
DB00390,Digoxin,DB04896,Milnacipran
DB00390,Digoxin,DB08893,Mirabegron 
DB00390,Digoxin,DB01359,Penbutolol
DB00390,Digoxin,DB00299,Penciclovir
DB00390,Digoxin,DB00859,Penicillamine
DB00390,Digoxin,DB01324,Polythiazide
DB00390,Digoxin,DB00457,Prazosin
DB00390,Digoxin,DB01168,Procarbazine
DB00390,Digoxin,DB01182,Propafenone
DB00390,Digoxin,DB00550,Propylthiouracil
DB00390,Digoxin,DB01325,Quinethazone
DB00390,Digoxin,DB00908,Quinidine
DB00390,Digoxin,DB01346,Quinidine barbiturate
DB00390,Digoxin,DB00468,Quinine
DB00390,Digoxin,DB01129,Rabeprazole
DB00390,Digoxin,DB00243,Ranolazine
DB00390,Digoxin,DB00503,Ritonavir
DB00390,Digoxin,DB00421,Spironolactone
DB00390,Digoxin,DB01323,St. John's Wort
DB00390,Digoxin,DB00795,Sulfasalazine
DB00390,Digoxin,DB05521,Telaprevir
DB00390,Digoxin,DB00976,Telithromycin
DB00390,Digoxin,DB00966,Telmisartan
DB00390,Digoxin,DB01584,Thyroglobulin
DB00390,Digoxin,DB00208,Ticlopidine
DB00390,Digoxin,DB01124,Tolbutamide
DB00390,Digoxin,DB06212,Tolvaptan
DB00390,Digoxin,DB01021,Trichlormethiazide
DB00390,Digoxin,DB01157,Trimetrexate
DB00390,Digoxin,DB00661,Verapamil
DB00390,Digoxin,DB00541,Vincristine
DB00390,Digoxin,DB00582,Voriconazole
DB00392,Ethopropazine,DB01200,Bromocriptine
DB00392,Ethopropazine,DB00604,Cisapride
DB00392,Ethopropazine,DB01191,Dexfenfluramine
DB00392,Ethopropazine,DB00937,Diethylpropion
DB00392,Ethopropazine,DB00843,Donepezil
DB00392,Ethopropazine,DB00574,Fenfluramine
DB00392,Ethopropazine,DB00674,Galantamine
DB00392,Ethopropazine,DB01170,Guanethidine
DB00392,Ethopropazine,DB00502,Haloperidol
DB00392,Ethopropazine,DB00579,Mazindol
DB00392,Ethopropazine,DB00191,Phentermine
DB00392,Ethopropazine,DB00397,Phenylpropanolamine
DB00393,Nimodipine,DB00501,Cimetidine
DB00393,Nimodipine,DB01369,Quinupristin
DB00393,Nimodipine,DB00976,Telithromycin
DB00393,Nimodipine,DB00599,Thiopental
DB00393,Nimodipine,DB00932,Tipranavir
DB00393,Nimodipine,DB00374,Treprostinil
DB00393,Nimodipine,DB00313,Valproic Acid
DB00393,Nimodipine,DB00582,Voriconazole
DB00395,Carisoprodol,DB00705,Delavirdine
DB00395,Carisoprodol,DB00450,Droperidol
DB00395,Carisoprodol,DB00196,Fluconazole
DB00395,Carisoprodol,DB00176,Fluvoxamine
DB00395,Carisoprodol,DB01241,Gemfibrozil
DB00395,Carisoprodol,DB00951,Isoniazid
DB00395,Carisoprodol,DB01403,Methotrimeprazine
DB00395,Carisoprodol,DB00745,Modafinil
DB00395,Carisoprodol,DB06268,Sitaxentan
DB00395,Carisoprodol,DB00208,Ticlopidine
DB00395,Carisoprodol,DB00427,Triprolidine
DB00396,Progesterone,DB01030,Topotecan
DB00397,Phenylpropanolamine,DB01063,Acetophenazine
DB00397,Phenylpropanolamine,DB01246,Alimemazine
DB00397,Phenylpropanolamine,DB00386,Alseroxylon
DB00397,Phenylpropanolamine,DB00321,Amitriptyline
DB00397,Phenylpropanolamine,DB00543,Amoxapine
DB00397,Phenylpropanolamine,DB01200,Bromocriptine
DB00397,Phenylpropanolamine,DB00477,Chlorpromazine
DB00397,Phenylpropanolamine,DB01242,Clomipramine
DB00397,Phenylpropanolamine,DB01089,Deserpidine
DB00397,Phenylpropanolamine,DB01151,Desipramine
DB00397,Phenylpropanolamine,DB01142,Doxepin
DB00397,Phenylpropanolamine,DB00392,Ethopropazine
DB00397,Phenylpropanolamine,DB00472,Fluoxetine
DB00397,Phenylpropanolamine,DB00623,Fluphenazine
DB00397,Phenylpropanolamine,DB00176,Fluvoxamine
DB00397,Phenylpropanolamine,DB01170,Guanethidine
DB00397,Phenylpropanolamine,DB00458,Imipramine
DB00397,Phenylpropanolamine,DB06704,Iobenguane
DB00397,Phenylpropanolamine,DB01247,Isocarboxazid
DB00397,Phenylpropanolamine,DB00601,Linezolid
DB00397,Phenylpropanolamine,DB00933,Mesoridazine
DB00397,Phenylpropanolamine,DB00902,Methdilazine
DB00397,Phenylpropanolamine,DB01403,Methotrimeprazine
DB00397,Phenylpropanolamine,DB00968,Methyldopa
DB00397,Phenylpropanolamine,DB00211,Midodrine
DB00397,Phenylpropanolamine,DB01171,Moclobemide
DB00397,Phenylpropanolamine,DB00540,Nortriptyline
DB00397,Phenylpropanolamine,DB01626,Pargyline
DB00397,Phenylpropanolamine,DB00715,Paroxetine
DB00397,Phenylpropanolamine,DB00850,Perphenazine
DB00397,Phenylpropanolamine,DB00780,Phenelzine
DB00397,Phenylpropanolamine,DB00433,Prochlorperazine
DB00397,Phenylpropanolamine,DB00420,Promazine
DB00397,Phenylpropanolamine,DB01069,Promethazine
DB00397,Phenylpropanolamine,DB01608,Propericiazine
DB00397,Phenylpropanolamine,DB00777,Propiomazine
DB00397,Phenylpropanolamine,DB00344,Protriptyline
DB00397,Phenylpropanolamine,DB01367,Rasagiline
DB00397,Phenylpropanolamine,DB00206,Reserpine
DB00397,Phenylpropanolamine,DB00372,Thiethylperazine
DB00397,Phenylpropanolamine,DB00679,Thioridazine
DB00397,Phenylpropanolamine,DB00752,Tranylcypromine
DB00397,Phenylpropanolamine,DB00831,Trifluoperazine
DB00397,Phenylpropanolamine,DB00508,Triflupromazine
DB00397,Phenylpropanolamine,DB00726,Trimipramine
DB00397,Phenylpropanolamine,DB00285,Venlafaxine
DB00398,Sorafenib,DB00958,Carboplatin
DB00398,Sorafenib,DB06414,Etravirine
DB00398,Sorafenib,DB00072,Trastuzumab
DB00398,Sorafenib,DB00755,Tretinoin
DB00400,Griseofulvin,DB01418,Acenocoumarol
DB00400,Griseofulvin,DB00945,Acetylsalicylic acid
DB00400,Griseofulvin,DB01351,Amobarbital
DB00400,Griseofulvin,DB01125,Anisindione
DB00400,Griseofulvin,DB01352,Aprobarbital
DB00400,Griseofulvin,DB00237,Butabarbital
DB00400,Griseofulvin,DB00241,Butalbital
DB00400,Griseofulvin,DB01353,Butethal
DB00400,Griseofulvin,DB00269,Chlorotrianisene
DB00400,Griseofulvin,DB00882,Clomifene
DB00400,Griseofulvin,DB00286,Conjugated Estrogens
DB00400,Griseofulvin,DB00091,Cyclosporine
DB00400,Griseofulvin,DB00266,Dicoumarol
DB00400,Griseofulvin,DB00255,Diethylstilbestrol
DB00400,Griseofulvin,DB01341,Dihydroquinidine barbiturate
DB00400,Griseofulvin,DB00783,Estradiol
DB00400,Griseofulvin,DB04573,Estriol
DB00400,Griseofulvin,DB00655,Estrone
DB00400,Griseofulvin,DB04574,Estropipate
DB00400,Griseofulvin,DB00977,Ethinyl Estradiol
DB00400,Griseofulvin,DB01354,Heptabarbital
DB00400,Griseofulvin,DB01355,Hexobarbital
DB00400,Griseofulvin,DB06655,Liraglutide
DB00400,Griseofulvin,DB00603,Medroxyprogesterone Acetate
DB00400,Griseofulvin,DB00351,Megestrol acetate
DB00400,Griseofulvin,DB01357,Mestranol
DB00400,Griseofulvin,DB00474,Methohexital
DB00400,Griseofulvin,DB00849,Methylphenobarbital
DB00400,Griseofulvin,DB00717,Norethindrone
DB00400,Griseofulvin,DB00312,Pentobarbital
DB00400,Griseofulvin,DB01174,Phenobarbital
DB00400,Griseofulvin,DB00794,Primidone
DB00400,Griseofulvin,DB04575,Quinestrol
DB00400,Griseofulvin,DB01346,Quinidine barbiturate
DB00400,Griseofulvin,DB00418,Secobarbital
DB00400,Griseofulvin,DB00306,Talbutal
DB00400,Griseofulvin,DB08867,Ulipristal
DB00400,Griseofulvin,DB00682,Warfarin
DB00401,Nisoldipine,DB00872,Conivaptan
DB00401,Nisoldipine,DB06414,Etravirine
DB00401,Nisoldipine,DB01320,Fosphenytoin
DB00401,Nisoldipine,DB00252,Phenytoin
DB00401,Nisoldipine,DB01369,Quinupristin
DB00401,Nisoldipine,DB00976,Telithromycin
DB00401,Nisoldipine,DB00599,Thiopental
DB00401,Nisoldipine,DB00932,Tipranavir
DB00401,Nisoldipine,DB00374,Treprostinil
DB00401,Nisoldipine,DB00582,Voriconazole
DB00402,Eszopiclone,DB00976,Telithromycin
DB00402,Eszopiclone,DB00427,Triprolidine
DB00402,Eszopiclone,DB00582,Voriconazole
DB00404,Alprazolam,DB00701,Amprenavir
DB00404,Alprazolam,DB00673,Aprepitant
DB00404,Alprazolam,DB00564,Carbamazepine
DB00404,Alprazolam,DB00501,Cimetidine
DB00404,Alprazolam,DB01211,Clarithromycin
DB00404,Alprazolam,DB00363,Clozapine
DB00404,Alprazolam,DB00705,Delavirdine
DB00404,Alprazolam,DB00390,Digoxin
DB00404,Alprazolam,DB00625,Efavirenz
DB00404,Alprazolam,DB00199,Erythromycin
DB00404,Alprazolam,DB00754,Ethotoin
DB00404,Alprazolam,DB00196,Fluconazole
DB00404,Alprazolam,DB01319,Fosamprenavir
DB00404,Alprazolam,DB01320,Fosphenytoin
DB00404,Alprazolam,DB00224,Indinavir
DB00404,Alprazolam,DB01167,Itraconazole
DB00404,Alprazolam,DB01321,Josamycin
DB00404,Alprazolam,DB01322,Kava
DB00404,Alprazolam,DB01026,Ketoconazole
DB00404,Alprazolam,DB00532,Mephenytoin
DB00404,Alprazolam,DB00220,Nelfinavir
DB00404,Alprazolam,DB00338,Omeprazole
DB00404,Alprazolam,DB00252,Phenytoin
DB00404,Alprazolam,DB00503,Ritonavir
DB00404,Alprazolam,DB01232,Saquinavir
DB00404,Alprazolam,DB01323,St. John's Wort
DB00404,Alprazolam,DB05521,Telaprevir
DB00404,Alprazolam,DB00976,Telithromycin
DB00404,Alprazolam,DB00932,Tipranavir
DB00404,Alprazolam,DB00427,Triprolidine
DB00404,Alprazolam,DB00582,Voriconazole
DB00405,Dexbrompheniramine,DB00843,Donepezil
DB00405,Dexbrompheniramine,DB00674,Galantamine
DB00405,Dexbrompheniramine,DB00382,Tacrine
DB00405,Dexbrompheniramine,DB00662,Trimethobenzamide
DB00405,Dexbrompheniramine,DB00427,Triprolidine
DB00405,Dexbrompheniramine,DB00209,Trospium
DB00408,Loxapine,DB06697,Artemether
DB00408,Loxapine,DB00843,Donepezil
DB00408,Loxapine,DB00674,Galantamine
DB00408,Loxapine,DB06708,Lumefantrine
DB00408,Loxapine,DB00989,Rivastigmine
DB00408,Loxapine,DB05271,Rotigotine
DB00408,Loxapine,DB00382,Tacrine
DB00408,Loxapine,DB00864,Tacrolimus
DB00408,Loxapine,DB04844,Tetrabenazine
DB00408,Loxapine,DB01623,Thiothixene
DB00408,Loxapine,DB00539,Toremifene
DB00408,Loxapine,DB00662,Trimethobenzamide
DB00408,Loxapine,DB00726,Trimipramine
DB00408,Loxapine,DB00427,Triprolidine
DB00408,Loxapine,DB00209,Trospium
DB00408,Loxapine,DB00582,Voriconazole
DB00408,Loxapine,DB02546,Vorinostat
DB00408,Loxapine,DB00246,Ziprasidone
DB00408,Loxapine,DB01624,Zuclopenthixol
DB00408,Loxapine,DB08919,Zuclopenthixol acetate
DB00408,Loxapine,DB08920,Zuclopenthixol decanoate
DB00411,Carbachol,DB00382,Tacrine
DB00412,Rosiglitazone,DB06237,Avanafil
DB00412,Rosiglitazone,DB00930,Colesevelam
DB00412,Rosiglitazone,DB01241,Gemfibrozil
DB00412,Rosiglitazone,DB01026,Ketoconazole
DB00412,Rosiglitazone,DB01045,Rifampicin
DB00412,Rosiglitazone,DB00052,Somatropin recombinant
DB00412,Rosiglitazone,DB00755,Tretinoin
DB00413,Pramipexole,DB00501,Cimetidine
DB00413,Pramipexole,DB01551,Dihydrocodeine
DB00413,Pramipexole,DB01267,Paliperidone
DB00413,Pramipexole,DB01623,Thiothixene
DB00413,Pramipexole,DB00427,Triprolidine
DB00413,Pramipexole,DB00246,Ziprasidone
DB00413,Pramipexole,DB01624,Zuclopenthixol
DB00413,Pramipexole,DB08919,Zuclopenthixol acetate
DB00413,Pramipexole,DB08920,Zuclopenthixol decanoate
DB00414,Acetohexamide,DB01193,Acebutolol
DB00414,Acetohexamide,DB00945,Acetylsalicylic acid
DB00414,Acetohexamide,DB00335,Atenolol
DB00414,Acetohexamide,DB00195,Betaxolol
DB00414,Acetohexamide,DB00612,Bisoprolol
DB00414,Acetohexamide,DB00521,Carteolol
DB00414,Acetohexamide,DB01136,Carvedilol
DB00414,Acetohexamide,DB00446,Chloramphenicol
DB00414,Acetohexamide,DB00636,Clofibrate
DB00414,Acetohexamide,DB00266,Dicoumarol
DB00414,Acetohexamide,DB00187,Esmolol
DB00414,Acetohexamide,DB00598,Labetalol
DB00414,Acetohexamide,DB00264,Metoprolol
DB00414,Acetohexamide,DB01203,Nadolol
DB00414,Acetohexamide,DB01580,Oxprenolol
DB00414,Acetohexamide,DB00812,Phenylbutazone
DB00414,Acetohexamide,DB00960,Pindolol
DB00414,Acetohexamide,DB01297,Practolol
DB00414,Acetohexamide,DB00571,Propranolol
DB00414,Acetohexamide,DB01045,Rifampicin
DB00414,Acetohexamide,DB00489,Sotalol
DB00414,Acetohexamide,DB00373,Timolol
DB00415,Ampicillin,DB00335,Atenolol
DB00415,Ampicillin,DB00618,Demeclocycline
DB00415,Ampicillin,DB00254,Doxycycline
DB00415,Ampicillin,DB00977,Ethinyl Estradiol
DB00415,Ampicillin,DB01357,Mestranol
DB00415,Ampicillin,DB00931,Methacycline
DB00415,Ampicillin,DB00563,Methotrexate
DB00415,Ampicillin,DB01017,Minocycline
DB00415,Ampicillin,DB00595,Oxytetracycline
DB00415,Ampicillin,DB01301,Rolitetracycline
DB00415,Ampicillin,DB00759,Tetracycline
DB00417,Penicillin V,DB00618,Demeclocycline
DB00417,Penicillin V,DB00254,Doxycycline
DB00417,Penicillin V,DB02703,Fusidic Acid
DB00417,Penicillin V,DB01357,Mestranol
DB00417,Penicillin V,DB00931,Methacycline
DB00417,Penicillin V,DB00563,Methotrexate
DB00417,Penicillin V,DB01017,Minocycline
DB00417,Penicillin V,DB00595,Oxytetracycline
DB00417,Penicillin V,DB01301,Rolitetracycline
DB00417,Penicillin V,DB00759,Tetracycline
DB00418,Secobarbital,DB01223,Aminophylline
DB00418,Secobarbital,DB06769,Bendamustine
DB00418,Secobarbital,DB00443,Betamethasone
DB00418,Secobarbital,DB00882,Clomifene
DB00418,Secobarbital,DB00286,Conjugated Estrogens
DB00418,Secobarbital,DB00091,Cyclosporine
DB00418,Secobarbital,DB01234,Dexamethasone
DB00418,Secobarbital,DB00255,Diethylstilbestrol
DB00418,Secobarbital,DB00254,Doxycycline
DB00418,Secobarbital,DB00783,Estradiol
DB00418,Secobarbital,DB00977,Ethinyl Estradiol
DB00418,Secobarbital,DB01023,Felodipine
DB00418,Secobarbital,DB00687,Fludrocortisone
DB00418,Secobarbital,DB00158,Folic Acid
DB00418,Secobarbital,DB00317,Gefitinib
DB00418,Secobarbital,DB00400,Griseofulvin
DB00418,Secobarbital,DB00741,Hydrocortisone
DB00418,Secobarbital,DB00367,Levonorgestrel
DB00418,Secobarbital,DB00603,Medroxyprogesterone Acetate
DB00418,Secobarbital,DB00351,Megestrol acetate
DB00418,Secobarbital,DB00333,Methadone
DB00418,Secobarbital,DB00916,Metronidazole
DB00418,Secobarbital,DB01115,Nifedipine
