drug pair    NDFRT    DrugBank
http://bio2rdf.org/drugbank:DB00514-http://bio2rdf.org/drugbank:DB01247    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033572', u'DEXTROMETHORPHAN/ISOCARBOXAZID [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00323-http://bio2rdf.org/drugbank:DB00752    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180671', u'TOLCAPONE/TRANYLCYPROMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00641    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033993', u'KETOCONAZOLE/SIMVASTATIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00540    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033919', u'NORTRIPTYLINE/RIFAMPIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB01626    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032819', u'PARGYLINE/PSEUDOEPHEDRINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00754    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033589', u'CYCLOSPORINE/ETHOTOIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB00813    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182384', u'FENTANYL/FOSAMPRENAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01241-http://bio2rdf.org/drugbank:DB00641    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033623', u'GEMFIBROZIL/SIMVASTATIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01377-http://bio2rdf.org/drugbank:DB01017    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034487', u'MAGNESIUM OXIDE/MINOCYCLINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00266    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033747', u'DICUMAROL/RIFAMPIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00570-http://bio2rdf.org/drugbank:DB00199    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033296', u'ERYTHROMYCIN/VINBLASTINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB01247    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033403', u'ISOCARBOXAZID/TRIMIPRAMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB00454    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033986', u'MEPERIDINE/SELEGILINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB01242    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176777', u'CIMETIDINE/CLOMIPRAMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00570-http://bio2rdf.org/drugbank:DB00196    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034159', u'FLUCONAZOLE/VINBLASTINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00862-http://bio2rdf.org/drugbank:DB00908    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000171880', u'QUINIDINE/VARDENAFIL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB01125    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032943', u'ANISINDIONE/DICLOFENAC [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB01100    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035211', u'PIMOZIDE/TELITHROMYCIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00246-http://bio2rdf.org/drugbank:DB01208    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176379', u'SPARFLOXACIN/ZIPRASIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB01124    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034667', u'RIFAMPIN/TOLBUTAMIDE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB01125    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033720', u'ANISINDIONE/RIFAMPIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01576-http://bio2rdf.org/drugbank:DB00780    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032916', u'DEXTROAMPHETAMINE/PHENELZINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00533    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034491', u'METHOTREXATE/ROFECOXIB [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB06772    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000181753', u'CABAZITAXEL/VORICONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB00501    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180348', u'CIMETIDINE/DESIPRAMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00849-http://bio2rdf.org/drugbank:DB00783    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035098', u'ESTRADIOL/MEPHOBARBITAL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB00503    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034305', u'DESIPRAMINE/RITONAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01345-http://bio2rdf.org/drugbank:DB01197    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176585', u'CAPTOPRIL/POTASSIUM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB04855    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180984', u'DRONEDARONE/SIMVASTATIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00196    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034224', u'CELECOXIB/FLUCONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB00752    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182377', u'RASAGILINE/TRANYLCYPROMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00540-http://bio2rdf.org/drugbank:DB00575    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033415', u'CLONIDINE/NORTRIPTYLINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00683-http://bio2rdf.org/drugbank:DB00932    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180529', u'MIDAZOLAM/TIPRANAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01263-http://bio2rdf.org/drugbank:DB00908    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176857', u'POSACONAZOLE/QUINIDINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00683-http://bio2rdf.org/drugbank:DB01319    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035010', u'FOSAMPRENAVIR/MIDAZOLAM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01098-http://bio2rdf.org/drugbank:DB01241    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034914', u'GEMFIBROZIL/ROSUVASTATIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00908    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034726', u'CLARITHROMYCIN/QUINIDINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00540-http://bio2rdf.org/drugbank:DB00476    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035185', u'DULOXETINE/NORTRIPTYLINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB01356    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035511', u'CELECOXIB/LITHIUM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00343    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034908', u'DILTIAZEM/QUINIDINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01241-http://bio2rdf.org/drugbank:DB08860    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000181594', u'GEMFIBROZIL/PITAVASTATIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00863-http://bio2rdf.org/drugbank:DB01254    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176517', u'DASATINIB/RANITIDINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00266    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033475', u'DICUMAROL/KETOCONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00776-http://bio2rdf.org/drugbank:DB01357    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035362', u'MESTRANOL/OXCARBAZEPINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00467-http://bio2rdf.org/drugbank:DB01223    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033323', u'AMINOPHYLLINE/ENOXACIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01201-http://bio2rdf.org/drugbank:DB00977    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034089', u'ETHINYL ESTRADIOL/RIFAPENTINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00246-http://bio2rdf.org/drugbank:DB00199    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176414', u'ERYTHROMYCIN/ZIPRASIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB01268    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176646', u'KETOCONAZOLE/SUNITINIB [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01068-http://bio2rdf.org/drugbank:DB00503    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033522', u'CLONAZEPAM/RITONAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01115-http://bio2rdf.org/drugbank:DB01174    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000181353', u'NIFEDIPINE/PHENOBARBITAL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01104-http://bio2rdf.org/drugbank:DB00216    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176334', u'ELETRIPTAN/SERTRALINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01255-http://bio2rdf.org/drugbank:DB00752    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000179909', u'LISDEXAMFETAMINE/TRANYLCYPROMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00637-http://bio2rdf.org/drugbank:DB00503    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033480', u'ASTEMIZOLE/RITONAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB01118    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033086', u'AMIODARONE/CYCLOSPORINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00246-http://bio2rdf.org/drugbank:DB00556    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182658', u'PERFLUTREN/ZIPRASIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00415-http://bio2rdf.org/drugbank:DB01357    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176394', u'AMPICILLIN/MESTRANOL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00945    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032809', u'ASPIRIN/PROBENECID [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00754-http://bio2rdf.org/drugbank:DB01023    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182924', u'ETHOTOIN/FELODIPINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00585    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034334', u'KETOCONAZOLE/NIZATIDINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00363    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033250', u'CLOZAPINE/DIAZEPAM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00607    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034866', u'CYCLOSPORINE/NAFCILLIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00822-http://bio2rdf.org/drugbank:DB01125    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033709', u'ANISINDIONE/DISULFIRAM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00544-http://bio2rdf.org/drugbank:DB00754    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180360', u'ETHOTOIN/FLUOROURACIL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB00604    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034797', u'CISAPRIDE/VORICONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB01100    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034515', u'FLUCONAZOLE/PIMOZIDE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB01175    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182372', u'ESCITALOPRAM OXALATE/RASAGILINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00216    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035086', u'ELETRIPTAN/KETOCONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00564    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033331', u'CARBAMAZEPINE/CLARITHROMYCIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00790-http://bio2rdf.org/drugbank:DB01356    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034221', u'LITHIUM/PERINDOPRIL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB01254    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000181888', u'DASATINIB/TELITHROMYCIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB00656    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182488', u'TELITHROMYCIN/TRAZODONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB00615    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176429', u'FOSAMPRENAVIR/RIFABUTIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00501    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032805', u'CIMETIDINE/PHENYTOIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB01232    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034416', u'CYCLOSPORINE/SAQUINAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB01233    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033599', u'CYCLOSPORINE/METOCLOPRAMIDE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00563    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032689', u'INDOMETHACIN/METHOTREXATE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00541-http://bio2rdf.org/drugbank:DB00196    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034160', u'FLUCONAZOLE/VINCRISTINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00582    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034798', u'CYCLOSPORINE/VORICONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01263-http://bio2rdf.org/drugbank:DB01100    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176856', u'PIMOZIDE/POSACONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00266-http://bio2rdf.org/drugbank:DB00812    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032978', u'DICUMAROL/PHENYLBUTAZONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00615    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180494', u'ATAZANAVIR/RIFABUTIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB06589    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000181887', u'CLARITHROMYCIN/PAZOPANIB [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00872-http://bio2rdf.org/drugbank:DB00976    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000181619', u'CONIVAPTAN/TELITHROMYCIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00717-http://bio2rdf.org/drugbank:DB00615    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033543', u'NORETHINDRONE/RIFABUTIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00752-http://bio2rdf.org/drugbank:DB00388    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032813', u'PHENYLEPHRINE/TRANYLCYPROMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00991    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033213', u'METHOTREXATE/OXAPROZIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00822-http://bio2rdf.org/drugbank:DB00916    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034759', u'DISULFIRAM/METRONIDAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00790-http://bio2rdf.org/drugbank:DB01345    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176602', u'PERINDOPRIL/POTASSIUM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01359-http://bio2rdf.org/drugbank:DB00575    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033647', u'CLONIDINE/PENBUTOLOL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00443-http://bio2rdf.org/drugbank:DB01010    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033852', u'BETAMETHASONE/EDROPHONIUM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01039-http://bio2rdf.org/drugbank:DB00227    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034387', u'FENOFIBRATE/LOVASTATIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB00537    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182389', u'CIPROFLOXACIN/RASAGILINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00443-http://bio2rdf.org/drugbank:DB00545    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033854', u'BETAMETHASONE/PYRIDOSTIGMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00257-http://bio2rdf.org/drugbank:DB00864    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176630', u'CLOTRIMAZOLE/TACROLIMUS [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00977    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033946', u'ETHINYL ESTRADIOL/PHENYTOIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00254-http://bio2rdf.org/drugbank:DB00459    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000178019', u'ACITRETIN/DOXYCYCLINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01017-http://bio2rdf.org/drugbank:DB00459    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000178020', u'ACITRETIN/MINOCYCLINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB00862    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000171928', u'VARDENAFIL/VORICONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00932-http://bio2rdf.org/drugbank:DB00820    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000180502', u'TADALAFIL/TIPRANAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00752-http://bio2rdf.org/drugbank:DB01104    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033203', u'SERTRALINE/TRANYLCYPROMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01364-http://bio2rdf.org/drugbank:DB00780    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032802', u'EPHEDRINE/PHENELZINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB06772    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000181750', u'CABAZITAXEL/SAQUINAVIR [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00877-http://bio2rdf.org/drugbank:DB00976    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000179925', u'SIROLIMUS/TELITHROMYCIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00530    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035415', u'CLARITHROMYCIN/ERLOTINIB [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00246-http://bio2rdf.org/drugbank:DB06589    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182659', u'PAZOPANIB/ZIPRASIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01394-http://bio2rdf.org/drugbank:DB00199    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033333', u'COLCHICINE/ERYTHROMYCIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB00315    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176342', u'ESCITALOPRAM OXALATE/ZOLMITRIPTAN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00559-http://bio2rdf.org/drugbank:DB00582    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176625', u'BOSENTAN/VORICONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB01234    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033693', u'DEXAMETHASONE/RIFAMPIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00619    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176567', u'IMATINIB/PHENYTOIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB01067    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034668', u'GLIPIZIDE/RIFAMPIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00877-http://bio2rdf.org/drugbank:DB01045    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000179920', u'RIFAMPIN/SIROLIMUS [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00796-http://bio2rdf.org/drugbank:DB01356    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176461', u'CANDESARTAN/LITHIUM [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB01357    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033542', u'MESTRANOL/RIFABUTIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00208    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033548', u'PHENYTOIN/TICLOPIDINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01400-http://bio2rdf.org/drugbank:DB00741    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033628', u'HYDROCORTISONE/NEOSTIGMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB04835    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176762', u'MARAVIROC/TELITHROMYCIN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00246    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034857', u'DROPERIDOL/ZIPRASIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00246-http://bio2rdf.org/drugbank:DB00908    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035401', u'QUINIDINE/ZIPRASIDONE [VA Drug Interaction]')]    [(None, None)]
