Drug_Interaction_ID	Drug_1_Name	Drug_1_RxCUI	Drug_2_Name	Drug_2_RxCUI	Description	Severity	Comment
1435	ESCITALOPRAM	321988	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	FLUOXETINE	4493	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	FLUPHENAZINE	4496	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	FLUVOXAMINE	42355	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	HALOPERIDOL 	5093	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	IMIPRAMINE	5691	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	MAPROTILINE	6646	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	PAROXETINE	32937	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	SERTRALINE	36437	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1435	TRIMIPRAMINE	10834	CLOMIPRAMINE	2597	Accrued risk of convulsions	Take into account	
1436	QUETIAPINE	51272	CHLORPROMAZINE 	2403	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	TRIMIPRAMINE	10834	CHLORPROMAZINE 	2403	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	AMITRIPTYLINE	704	CLOMIPRAMINE	2597	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	AMOXAPINE	722	CLOMIPRAMINE	2597	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CHLORPROMAZINE 	2403	CLOMIPRAMINE	2597	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOZAPINE 	2626	CLOMIPRAMINE	2597	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	DOXEPIN	3638	CLOMIPRAMINE	2597	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	FLUPHENAZINE	4496	CLOMIPRAMINE	2597	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	IMIPRAMINE	5691	CLOMIPRAMINE	2597	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	LOXAPINE	6475	CLOMIPRAMINE	2597	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	MAPROTILINE	6646	CLOMIPRAMINE	2597	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	QUETIAPINE	51272	CLOMIPRAMINE	2597	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	TRIMIPRAMINE	10834	CLOMIPRAMINE	2597	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1447	AMITRIPTYLINE	704	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ARIPIPRAZOLE	89013	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CLOZAPINE 	2626	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	DOXEPIN	3638	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ESTAZOLAM	4077	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLUPHENAZINE	4496	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLURAZEPAM	4501	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	HALOPERIDOL	5093	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	LOXAPINE	6475	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MAPROTILINE	6646	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MIRTAZAPINE	15996	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	OLANZAPINE 	61381	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	PALIPERIDONE	679314	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	QUETIAPINE 	51272	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	RISPERIDONE 	35636	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	TRIMIPRAMINE	10834	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ZOLPIDEM	39993	CHLORPROMAZINE 	2403	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1640	FLUPHENAZINE	4496	CHLORPROMAZINE 	2403	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	-with citalopram, domperidone, escitalopram, hydroxyzine and piperaquine
1640	HALOPERIDOL	5093	CHLORPROMAZINE 	2403	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	-with citalopram, domperidone, escitalopram, hydroxyzine and piperaquine
1640	CHLORPROMAZINE 	2403	CITALOPRAM	2556	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	-with citalopram, domperidone, escitalopram, hydroxyzine and piperaquine
1640	FLUPHENAZINE	4496	CITALOPRAM	2556	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	-with citalopram, domperidone, escitalopram, hydroxyzine and piperaquine
1640	HALOPERIDOL	5093	CITALOPRAM	2556	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	-with citalopram, domperidone, escitalopram, hydroxyzine and piperaquine
2208	CITALOPRAM	2556	CHLORPROMAZINE 	2403	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--with citalopram, dromperidone, escitalopram, hydroxyzine, piperaquine
2208	ESCITALOPRAM	321988	CHLORPROMAZINE 	2403	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--with citalopram, dromperidone, escitalopram, hydroxyzine, piperaquine
2208	FLUPHENAZINE	4496	CHLORPROMAZINE 	2403	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--with citalopram, dromperidone, escitalopram, hydroxyzine, piperaquine
2208	HALOPERIDOL	5093	CHLORPROMAZINE 	2403	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--with citalopram, dromperidone, escitalopram, hydroxyzine, piperaquine
2212	CHLORPROMAZINE 	2403	CITALOPRAM	2556	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--For dolasetron, erythromycin, spiramycin and vicamine, only the forms administerd by IV route are concerned by this interaction
2212	ESCITALOPRAM	321988	CITALOPRAM	2556	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--For dolasetron, erythromycin, spiramycin and vicamine, only the forms administerd by IV route are concerned by this interaction
2212	FLUPHENAZINE	4496	CITALOPRAM	2556	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--For dolasetron, erythromycin, spiramycin and vicamine, only the forms administerd by IV route are concerned by this interaction
2212	HALOPERIDOL	5093	CITALOPRAM	2556	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--For dolasetron, erythromycin, spiramycin and vicamine, only the forms administerd by IV route are concerned by this interaction
2417	APIXABAN	1364430	CITALOPRAM	2556	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2417	RIVAROXABAN	1114195	CITALOPRAM	2556	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2417	WARFARIN	11289	CITALOPRAM	2556	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2419	APIXABAN	1364430	CLOMIPRAMINE	2597	Increase of the risk of hermorrhage.	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after they are stopped.
2419	RIVAROXABAN	1114195	CLOMIPRAMINE	2597	Increase of the risk of hermorrhage.	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after they are stopped.
2419	WARFARIN	11289	CLOMIPRAMINE	2597	Increase of the risk of hermorrhage.	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after they are stopped.
2441	CITALOPRAM	2556	CHLORPROMAZINE 	2403	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--for dolasetron, erythromycin, spiramycin, and vincamine, only the forms administered by IV route are affected by this interaction.
2441	ESCITALOPRAM	321988	CHLORPROMAZINE 	2403	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--for dolasetron, erythromycin, spiramycin, and vincamine, only the forms administered by IV route are affected by this interaction.
2441	ESCITALOPRAM	321988	CITALOPRAM	2556	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--for dolasetron, erythromycin, spiramycin, and vincamine, only the forms administered by IV route are affected by this interaction.
2676	AMITRIPTYLINE	704	CITALOPRAM	2556	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	AMOXAPINE	722	CITALOPRAM	2556	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	CLOMIPRAMINE	2597	CITALOPRAM	2556	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	DOXEPIN	3638	CITALOPRAM	2556	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	IMIPRAMINE	5691	CITALOPRAM	2556	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	MAPROTILINE	6646	CITALOPRAM	2556	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	TRIMIPRAMINE	10834	CITALOPRAM	2556	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
876	ZOLPIDEM	39993	ESTAZOLAM	4077	Increase of central nervous system depression	Take into account	
880	CITALOPRAM	2556	ESCITALOPRAM	321988	Increase of the risk of hyponatremia	Take into account	
880	FLUOXETINE	4493	ESCITALOPRAM	321988	Increase of the risk of hyponatremia	Take into account	
880	FLUVOXAMINE	42355	ESCITALOPRAM	321988	Increase of the risk of hyponatremia	Take into account	
880	PAROXETINE	32937	ESCITALOPRAM	321988	Increase of the risk of hyponatremia	Take into account	
880	SERTRALINE	36437	ESCITALOPRAM	321988	Increase of the risk of hyponatremia	Take into account	
1184	PAROXETINE	32937	CLOMIPRAMINE	2597	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	SERTRALINE	36437	CLOMIPRAMINE	2597	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	VORTIOXETINE	1455099	CLOMIPRAMINE	2597	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	CITALOPRAM	2556	DOXEPIN	3638	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	ESCITALOPRAM	321988	DOXEPIN	3638	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	FLUOXETINE	4493	DOXEPIN	3638	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	FLUVOXAMINE	42355	DOXEPIN	3638	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	PAROXETINE	32937	DOXEPIN	3638	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	SERTRALINE	36437	DOXEPIN	3638	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	VORTIOXETINE	1455099	DOXEPIN	3638	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1435	AMITRIPTYLINE	704	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	AMOXAPINE	722	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	CHLORPROMAZINE 	2403	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	CITALOPRAM	2556	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	CLOMIPRAMINE	2597	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	ESCITALOPRAM	321988	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	FLUOXETINE	4493	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	FLUPHENAZINE	4496	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	FLUVOXAMINE	42355	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	HALOPERIDOL 	5093	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	IMIPRAMINE	5691	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	MAPROTILINE	6646	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	PAROXETINE	32937	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	SERTRALINE	36437	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	TRIMIPRAMINE	10834	DOXEPIN	3638	Accrued risk of convulsions	Take into account	
1435	AMITRIPTYLINE	704	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	AMOXAPINE	722	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	CHLORPROMAZINE 	2403	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	CITALOPRAM	2556	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	CLOMIPRAMINE	2597	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	DOXEPIN	3638	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	FLUOXETINE	4493	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	FLUPHENAZINE	4496	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	FLUVOXAMINE	42355	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	HALOPERIDOL 	5093	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	IMIPRAMINE	5691	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	MAPROTILINE	6646	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	PAROXETINE	32937	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	SERTRALINE	36437	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1435	TRIMIPRAMINE	10834	ESCITALOPRAM	321988	Accrued risk of convulsions	Take into account	
1436	AMITRIPTYLINE	704	CLOZAPINE 	2626	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	AMOXAPINE	722	CLOZAPINE 	2626	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CHLORPROMAZINE 	2403	CLOZAPINE 	2626	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOMIPRAMINE	2597	CLOZAPINE 	2626	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	DOXEPIN	3638	CLOZAPINE 	2626	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	FLUPHENAZINE	4496	CLOZAPINE 	2626	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	IMIPRAMINE	5691	CLOZAPINE 	2626	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	LOXAPINE	6475	CLOZAPINE 	2626	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	MAPROTILINE	6646	CLOZAPINE 	2626	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	QUETIAPINE	51272	CLOZAPINE 	2626	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	TRIMIPRAMINE	10834	CLOZAPINE 	2626	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	AMITRIPTYLINE	704	DOXEPIN	3638	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	AMOXAPINE	722	DOXEPIN	3638	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CHLORPROMAZINE 	2403	DOXEPIN	3638	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOMIPRAMINE	2597	DOXEPIN	3638	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOZAPINE 	2626	DOXEPIN	3638	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	FLUPHENAZINE	4496	DOXEPIN	3638	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	IMIPRAMINE	5691	DOXEPIN	3638	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	LOXAPINE	6475	DOXEPIN	3638	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	MAPROTILINE	6646	DOXEPIN	3638	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	QUETIAPINE	51272	DOXEPIN	3638	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	TRIMIPRAMINE	10834	DOXEPIN	3638	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1447	AMITRIPTYLINE	704	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ARIPIPRAZOLE	89013	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CHLORPROMAZINE 	2403	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	DOXEPIN	3638	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ESTAZOLAM	4077	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLUPHENAZINE	4496	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLURAZEPAM	4501	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	HALOPERIDOL	5093	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	LOXAPINE	6475	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MAPROTILINE	6646	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MIRTAZAPINE	15996	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	OLANZAPINE 	61381	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	PALIPERIDONE	679314	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	QUETIAPINE 	51272	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	RISPERIDONE 	35636	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	TRIMIPRAMINE	10834	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ZOLPIDEM	39993	CLOZAPINE 	2626	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	AMITRIPTYLINE	704	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ARIPIPRAZOLE	89013	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CHLORPROMAZINE 	2403	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CLOZAPINE 	2626	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ESTAZOLAM	4077	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLUPHENAZINE	4496	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLURAZEPAM	4501	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	HALOPERIDOL	5093	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	LOXAPINE	6475	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MAPROTILINE	6646	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MIRTAZAPINE	15996	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	OLANZAPINE 	61381	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	PALIPERIDONE	679314	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	QUETIAPINE 	51272	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	RISPERIDONE 	35636	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	TRIMIPRAMINE	10834	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ZOLPIDEM	39993	DOXEPIN	3638	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	AMITRIPTYLINE	704	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ARIPIPRAZOLE	89013	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CHLORPROMAZINE 	2403	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CLOZAPINE 	2626	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	DOXEPIN	3638	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLUPHENAZINE	4496	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLURAZEPAM	4501	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	HALOPERIDOL	5093	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	LOXAPINE	6475	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MAPROTILINE	6646	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MIRTAZAPINE	15996	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
